ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv2_tt,residual_USMFv2_tt,Dl_USMFv2_te,residual_USMFv2_te,Dl_USMFv2_ee,residual_USMFv2_ee
842,2505.47,-17.8662,13.3085,1834.98,670.49,99.0091,-116.875,16.2403,-2.93184,1656.48,848.989,84.8816,-102.748,5.78247,7.526
851,2383.14,3.01617,13.0309,1703.76,679.389,102.809,-99.7926,18.2046,-5.17372,1561.36,821.787,87.146,-84.1298,6.32843,6.70249
860,2355.55,13.7369,15.4091,1570.14,785.412,104.05,-90.3135,20.1138,-4.70473,1464.04,891.504,88.53,-74.793,6.8199,8.58918
869,2237.42,27.841,16.3651,1436.97,800.45,102.77,-74.9291,21.9262,-5.56106,1365.81,871.602,88.9441,-61.1031,7.26403,9.10107
878,2168.28,41.3423,17.5279,1306.03,862.255,99.1221,-57.7797,23.6061,-6.07814,1266.9,901.384,88.3775,-47.0352,7.6743,9.85364
887,2073.72,49.2007,22.0617,1180.22,893.496,93.305,-44.1043,25.0904,-3.02873,1168.65,905.072,86.8634,-37.6628,8.03663,14.025
896,1948.82,55.0267,24.2907,1061.94,886.883,85.5669,-30.5402,26.3191,-2.02838,1071.9,876.929,84.4844,-29.4576,8.34011,15.9506
905,1843.37,57.821,23.2827,953.963,889.405,76.3272,-18.5062,27.213,-3.93027,977.922,865.447,81.4905,-23.6695,8.55326,14.7295
914,1745.6,67.5475,29.1072,858.248,887.356,65.8733,1.6742,27.7371,1.37006,888.053,857.551,77.927,-10.3795,8.66176,20.4454
923,1619.45,56.6996,31.4781,775.395,844.057,54.461,2.23866,27.9006,3.57753,803.01,816.442,73.7449,-17.0453,8.67239,22.8057
932,1562.39,54.4174,35.4116,705.816,856.577,42.4556,11.9618,27.7099,7.7017,723.354,839.039,69.0026,-14.5852,8.58852,26.8231
941,1437.55,50.1516,37.4935,649.849,787.696,30.2994,19.8522,27.1735,10.32,649.57,787.975,63.8354,-13.6838,8.41543,29.0781
950,1342.39,41.3038,37.058,607.417,734.972,18.4812,22.8225,26.305,10.753,581.727,760.661,58.425,-17.1213,8.16361,28.8944
959,1285.75,33.7705,39.3482,578.147,707.605,7.48,26.2905,25.1291,14.2191,519.829,765.923,52.9755,-19.205,7.84655,31.5016
968,1232.84,20.9026,40.3395,561.33,671.509,-2.48782,23.3904,23.6806,16.659,464.449,768.391,47.5558,-26.6532,7.45661,32.8829
977,1129.03,9.81707,40.4442,555.808,573.225,-11.2542,21.0713,22.0061,18.4381,415.938,713.095,42.2184,-32.4014,6.98974,33.4544
986,1103.57,-0.29649,38.6279,559.975,543.6,-18.6435,18.347,20.1681,18.4598,374.202,729.373,37.0237,-37.3202,6.45787,32.17
995,1087.32,-14.7591,42.2792,571.886,515.432,-24.4992,9.74014,18.2425,24.0367,338.804,748.514,32.0124,-46.7714,5.88623,36.393
1004,1024.83,-37.3546,40.1553,589.294,435.531,-28.6494,-8.70519,16.3155,23.8398,309.006,715.82,27.2453,-64.5999,5.31079,34.8445
1013,1079.48,-45.221,46.1332,610.156,469.325,-30.9913,-14.2297,14.4529,31.6803,284.134,795.347,22.8439,-68.0649,4.75065,41.3826
1022,1032.41,-48.6768,42.9829,633.359,399.047,-31.6677,-17.0091,12.6962,30.2867,264.298,768.108,18.8341,-67.5109,4.2052,38.7777
1031,1040.79,-54.6481,39.2361,657.4,383.391,-30.7592,-23.8888,11.0739,28.1622,249.205,791.586,15.3125,-69.9606,3.66132,35.5748
1040,1055.91,-59.1628,36.5526,680.709,375.197,-28.5082,-30.6547,9.64909,26.9035,238.497,817.409,12.2139,-71.3767,3.14011,33.4125
1049,1081.98,-73.5188,35.8932,701.344,380.633,-25.1234,-48.3954,8.48047,27.4128,231.443,850.535,9.50649,-83.0253,2.65853,33.2347
1058,1129.81,-82.3317,37.0442,717.69,412.119,-20.9356,-61.3962,7.62235,29.4219,227.474,902.335,7.0463,-89.378,2.2352,34.809
1067,1122.39,-80.9655,28.6378,729.079,393.313,-16.1339,-64.8315,7.09539,21.5424,226.05,896.342,4.88382,-85.8493,1.88948,26.7483
1076,1153.29,-78.7501,25.1823,735.343,417.945,-10.9148,-67.8353,6.88054,18.3018,226.808,926.479,3.08081,-81.8309,1.61298,23.5694
1085,1217.71,-73.3497,20.9454,736.353,481.358,-5.5504,-67.7993,6.96647,13.9789,229.425,988.286,1.62331,-74.973,1.40503,19.5403
1094,1216.98,-76.2582,25.9907,732.105,484.871,-0.364752,-75.8935,7.335,18.6557,233.702,983.274,0.445398,-76.7036,1.25811,24.7326
1103,1211.44,-56.3317,16.4541,722.839,488.598,4.24501,-60.5767,7.9646,8.48951,239.68,971.756,-0.593022,-55.7387,1.1616,15.2925
1112,1213.36,-55.9813,15.7459,708.979,504.381,8.00516,-63.9865,8.82607,6.91979,247.219,966.142,-1.57775,-54.4036,1.11111,14.6348
1121,1246.29,-48.5737,15.3649,691.157,555.134,10.8562,-59.4299,9.88582,5.4791,255.82,990.471,-2.48743,-46.0862,1.11953,14.2454
1130,1237.54,-42.9851,15.5914,670.205,567.335,12.7398,-55.725,11.0979,4.49349,265.142,972.399,-3.30876,-39.6764,1.18921,14.4022
1139,1215.83,-47.6841,13.6421,647.328,568.504,13.571,-61.2552,12.4039,1.23827,275.211,940.622,-4.0551,-43.629,1.31006,12.3321
1148,1212.52,-23.673,13.5995,623.91,588.614,13.2708,-36.9438,13.7291,-0.129575,286.234,926.29,-4.73381,-18.9392,1.45577,12.1438
1157,1220.58,-15.6744,14.5019,601.491,619.09,11.7775,-27.4519,14.9917,-0.489812,298.599,921.982,-5.35312,-10.3212,1.59149,12.9104
1166,1159.29,-21.3026,9.18108,580.961,578.33,9.14843,-30.451,16.1564,-6.97531,312.229,847.062,-5.94731,-15.3553,1.71955,7.46153
1175,1143.31,-13.603,10.5746,562.87,580.436,5.5215,-19.1245,17.2032,-6.62864,326.796,816.51,-6.53908,-7.06387,1.85304,8.72156
1184,1136.56,-5.79308,12.8028,547.965,588.594,1.07119,-6.86427,18.1003,-5.29748,342.169,794.39,-7.11502,1.32195,1.99299,10.8098
1193,1086.25,-2.23866,12.7564,537.061,549.185,-3.98593,1.74727,18.8042,-6.04782,358.285,727.961,-7.61961,5.38096,2.12902,10.6274
1202,1005.41,0.797025,23.1519,531.177,474.23,-9.38129,10.1783,19.2626,3.88937,375.288,630.119,-7.94544,8.74246,2.24156,20.9104
1211,975.189,6.31648,21.2917,530.928,444.261,-14.8683,21.1847,19.4416,1.85013,393.224,581.965,-8.01908,14.3356,2.31568,18.976
1220,970.73,11.2854,18.0007,536.121,434.609,-20.3037,31.589,19.3573,-1.35668,411.974,558.756,-7.89596,19.1813,2.35663,15.644
1229,906.514,0.795071,24.1192,546.396,360.118,-25.5151,26.3102,19.0295,5.08973,431.331,475.182,-7.60551,8.40058,2.36947,21.7497
1238,895.506,-1.70669,26.9876,561.359,334.147,-30.269,28.5623,18.48,8.5076,451.058,444.448,-7.11593,5.40924,2.36171,24.6258
1247,860.053,6.50815,28.9322,580.456,279.597,-34.2919,40.8001,17.731,11.2012,470.754,389.3,-6.35566,12.8638,2.34093,26.5912
1256,805.618,-5.07351,28.2583,603.008,202.61,-37.2861,32.2126,16.8089,11.4494,489.924,315.694,-5.22065,0.147141,2.31764,25.9407
1265,777.489,-10.6252,32.123,628.323,149.166,-39.1381,28.513,15.7459,16.3771,508.424,269.065,-3.69844,-6.92673,2.29197,29.831
1274,770.016,-6.18903,28.0386,655.565,114.451,-39.8584,33.6694,14.5778,13.4609,526.195,243.821,-1.8405,-4.34852,2.25735,25.7813
1283,736.545,-25.4341,25.1459,683.72,52.825,-39.4384,14.0043,13.3508,11.7951,543.006,193.539,0.321756,-25.7558,2.21769,22.9282
1292,758.18,-27.8221,32.7948,711.544,46.6364,-37.8603,10.0381,12.1191,20.6757,558.393,199.787,2.76612,-30.5883,2.18445,30.6104
1301,733.856,-31.3034,32.8301,737.613,-3.75691,-35.1007,3.79735,10.9526,21.8775,571.715,162.141,5.4759,-36.7793,2.18514,30.6449
1310,712.532,-45.6622,32.308,760.626,-48.0941,-31.1799,-14.4823,9.91062,22.3974,582.387,130.145,8.43032,-54.0925,2.24062,30.0674
1319,718.903,-45.3274,37.0351,780.071,-61.1684,-26.2268,-19.1006,9.00619,28.0289,590.419,128.483,11.6127,-56.9401,2.33694,34.6981
1328,723.408,-52.8192,22.7581,795.453,-72.0453,-20.4111,-32.4081,8.25706,14.501,595.808,127.6,14.9859,-67.8051,2.46702,20.2911
1337,757.937,-50.5695,32.7284,806.134,-48.1966,-13.9304,-36.6391,7.68716,25.0412,598.403,159.534,18.485,-69.0546,2.62994,30.0985
1346,737.666,-57.1386,25.6747,811.364,-73.6978,-7.01669,-50.1219,7.32941,18.3453,597.947,139.719,22.0105,-79.1492,2.83377,22.8409
1355,765.134,-65.5484,22.1336,810.341,-45.2068,0.0687706,-65.6172,7.21977,14.9139,594.105,171.029,25.4341,-90.9825,3.09076,19.0429
1364,776.923,-62.1891,20.8649,802.907,-25.9836,7.12714,-69.3162,7.36574,13.4992,586.816,190.107,28.6957,-90.8848,3.40518,17.4597
1373,777.362,-56.4015,13.9711,789.424,-12.0619,14.0237,-70.4252,7.74079,6.23028,576.214,201.147,31.8046,-88.2061,3.76494,10.2061
1382,773.981,-47.5995,19.7096,770.288,3.69321,20.5822,-68.1817,8.32033,11.3893,562.461,211.521,34.7285,-82.328,4.16055,15.5491
1391,806.044,-66.4348,18.9034,745.918,60.1257,26.592,-93.0268,9.07741,9.82596,545.735,260.309,37.4011,-103.836,4.58009,14.3233
1400,830.177,-61.3485,26.3292,716.859,113.318,31.793,-93.1415,9.98562,16.3436,526.345,303.832,39.7061,-101.055,5.0122,21.317
1409,822.186,-54.6345,5.1988,683.709,138.477,35.9574,-90.5919,11.013,-5.81424,504.595,317.591,41.5378,-96.1723,5.44327,-0.244468
1418,818.106,-52.4991,20.0139,647.154,170.952,39.0615,-91.5605,12.1281,7.88584,480.643,337.463,42.9047,-95.4038,5.87289,14.141
1427,796.252,-38.2634,20.0412,608.054,188.198,41.109,-79.3724,13.295,6.74615,454.765,341.487,43.821,-82.0845,6.29984,13.7413
1436,803.463,-40.2416,13.1922,567.364,236.1,42.0937,-82.3353,14.4689,-1.27667,427.331,376.132,44.2907,-84.5323,6.71353,6.47871
1445,798.655,-37.8014,10.43,526.166,272.489,41.9985,-79.7998,15.5957,-5.16575,398.84,399.815,44.3069,-82.1083,7.09445,3.33553
1454,773.833,-26.0106,2.1953,485.66,288.174,40.8058,-66.8164,16.6131,-14.4179,369.91,403.924,43.8605,-69.8712,7.41443,-5.21913
1463,762.183,-21.7373,18.35,446.779,315.404,38.56,-60.2974,17.484,0.866016,341.036,421.147,42.95,-64.6873,7.66267,10.6873
1472,749.532,-9.44394,12.4154,409.944,339.587,35.3935,-44.8375,18.2015,-5.78608,312.362,437.169,41.599,-51.0429,7.84982,4.56556
1481,738.185,2.7698,16.5295,375.668,362.517,31.4557,-28.6859,18.7524,-2.22295,284.135,454.05,39.8448,-37.075,7.97958,8.54987
1490,727.424,-4.9052,14.6158,344.601,382.823,26.9171,-31.8223,19.1154,-4.4996,256.737,470.687,37.7456,-42.6508,8.04741,6.56837
1499,701.642,-1.96257,-1.3298,317.417,384.226,21.9729,-23.9355,19.2613,-20.5911,230.574,471.069,35.3846,-37.3472,8.04112,-9.37093
1512,655.678,7.47919,21.9852,286.117,369.561,14.5087,-7.02952,19.0437,2.94152,195.756,459.922,31.6815,-24.2023,7.87751,14.1077
1529,588.39,9.37829,16.3364,259.053,329.337,4.73436,4.64393,18.0815,-1.74511,156.184,432.206,26.4039,-17.0257,7.42493,8.91143
1546,547.01,10.0139,17.2441,246.351,300.659,-4.11973,14.1336,16.5054,0.738689,123.823,423.187,20.928,-10.9141,6.76256,10.4815
1563,503.657,-0.414165,16.8062,245.998,257.659,-10.8265,10.4124,14.4837,2.32248,98.7307,404.926,15.841,-16.2552,5.95115,10.855
1580,468.039,-1.86885,6.00044,255.035,213.004,-15.0079,13.139,12.2132,-6.21278,80.9015,387.138,11.3473,-13.2162,5.02838,0.972056
1597,429.111,-9.9112,23.6655,269.345,159.766,-16.6291,6.71789,9.9533,13.7122,69.6072,359.504,7.53749,-17.4487,4.06881,19.5967
