ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te,Dl_LambdaCDM_ee,residual_LambdaCDM_ee
122,3382.73,-35.701,1.11192,2369.03,1013.7,-41.3132,5.61225,1.82168,-0.709767,2369.03,1013.7,-41.3132,5.61225,1.82168,-0.709767
131,3592.1,-41.5613,1.10666,2538.41,1053.69,-45.361,3.79972,1.82489,-0.718237,2538.41,1053.69,-45.361,3.79972,1.82489,-0.718237
140,4229.84,-43.6625,1.09668,2704.02,1525.82,-47.413,3.75048,1.74603,-0.649346,2704.02,1525.82,-47.413,3.75048,1.74603,-0.649346
149,4251.39,-45.0365,1.00578,2857.36,1394.03,-47.1835,2.14693,1.59549,-0.589711,2857.36,1394.03,-47.1835,2.14693,1.59549,-0.589711
158,4778.71,-49.241,1.07943,2988.28,1790.43,-44.4769,-4.76408,1.39028,-0.310848,2988.28,1790.43,-44.4769,-4.76408,1.39028,-0.310848
167,4844.8,-45.9645,0.855441,3090.9,1753.9,-39.3296,-6.63494,1.15554,-0.300097,3090.9,1753.9,-39.3296,-6.63494,1.15554,-0.300097
176,5120.63,-43.3901,0.96559,3159.27,1961.36,-31.9125,-11.4776,0.922436,0.0431531,3159.27,1961.36,-31.9125,-11.4776,0.922436,0.0431531
185,5373.97,-30.3906,0.835251,3189.04,2184.93,-22.5374,-7.85323,0.727091,0.10816,3189.04,2184.93,-22.5374,-7.85323,0.727091,0.10816
194,5542.7,-18.1436,0.793541,3178.38,2364.33,-11.736,-6.40753,0.610457,0.183084,3178.38,2364.33,-11.736,-6.40753,0.610457,0.183084
203,5446.22,-7.21464,0.694054,3126.81,2319.41,-0.160042,-7.0546,0.616315,0.0777394,3126.81,2319.41,-0.160042,-7.0546,0.616315,0.0777394
212,5636.34,2.53847,0.877642,3034.88,2601.46,11.5825,-9.04402,0.772304,0.105338,3034.88,2601.46,11.5825,-9.04402,0.772304,0.105338
221,5816.48,17.9047,0.874199,2907.81,2908.67,23.0034,-5.09876,1.07861,-0.204412,2907.81,2908.67,23.0034,-5.09876,1.07861,-0.204412
230,5684.66,26.6053,1.23818,2751.22,2933.44,33.5645,-6.95928,1.53173,-0.293547,2751.22,2933.44,33.5645,-6.95928,1.53173,-0.293547
239,5776.16,46.2991,1.78071,2572.09,3204.06,42.676,3.62311,2.12513,-0.344422,2572.09,3204.06,42.676,3.62311,2.12513,-0.344422
248,5435.47,50.6637,2.10983,2378.81,3056.66,49.7107,0.952995,2.84782,-0.737991,2378.81,3056.66,49.7107,0.952995,2.84782,-0.737991
257,5228,71.5358,3.13386,2180.55,3047.44,54.0867,17.4491,3.68156,-0.547699,2180.55,3047.44,54.0867,17.4491,3.68156,-0.547699
266,5090.29,86.4306,3.86066,1983.44,3106.85,55.6951,30.7355,4.59121,-0.730547,1983.44,3106.85,55.6951,30.7355,4.59121,-0.730547
275,5096.49,106.963,5.31265,1793.55,3302.94,54.6956,52.2671,5.52917,-0.216519,1793.55,3302.94,54.6956,52.2671,5.52917,-0.216519
284,4546.18,102.707,5.82483,1616.96,2929.22,51.2898,51.4168,6.43908,-0.614253,1616.96,2929.22,51.2898,51.4168,6.43908,-0.614253
