ell,Dl_obs,Dl_te_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te
770,2348.38,37.744,2.68511e+07,-2.68487e+07,-1.7601e+06,1.76014e+06,2.68511e+07,-2.68487e+07,-1.7601e+06,1.76014e+06
779,2350.93,38.5003,2.84517e+07,-2.84493e+07,-1.88157e+06,1.88161e+06,2.84517e+07,-2.84493e+07,-1.88157e+06,1.88161e+06
788,2481.01,39.0175,3.01443e+07,-3.01418e+07,-1.96864e+06,1.96868e+06,3.01443e+07,-3.01418e+07,-1.96864e+06,1.96868e+06
797,2466.93,39.2277,3.18918e+07,-3.18893e+07,-2.01625e+06,2.01629e+06,3.18918e+07,-3.18893e+07,-2.01625e+06,2.01629e+06
806,2493.81,39.3556,3.36699e+07,-3.36674e+07,-2.02162e+06,2.02166e+06,3.36699e+07,-3.36674e+07,-2.02162e+06,2.02166e+06
815,2552.73,39.2238,3.54311e+07,-3.54285e+07,-1.98318e+06,1.98322e+06,3.54311e+07,-3.54285e+07,-1.98318e+06,1.98322e+06
824,2521.81,38.8882,3.71329e+07,-3.71303e+07,-1.90227e+06,1.9023e+06,3.71329e+07,-3.71303e+07,-1.90227e+06,1.9023e+06
833,2495.02,38.2942,3.87245e+07,-3.8722e+07,-1.77998e+06,1.78001e+06,3.87245e+07,-3.8722e+07,-1.77998e+06,1.78001e+06
842,2505.47,37.5072,4.01677e+07,-4.01652e+07,-1.61845e+06,1.61848e+06,4.01677e+07,-4.01652e+07,-1.61845e+06,1.61848e+06
851,2383.14,36.4416,4.14282e+07,-4.14258e+07,-1.41975e+06,1.41979e+06,4.14282e+07,-4.14258e+07,-1.41975e+06,1.41979e+06
860,2355.55,35.327,4.24703e+07,-4.2468e+07,-1.18707e+06,1.1871e+06,4.24703e+07,-4.2468e+07,-1.18707e+06,1.1871e+06
869,2237.42,33.9625,4.32813e+07,-4.32791e+07,-928596,928630,4.32813e+07,-4.32791e+07,-928596,928630
878,2168.28,32.4966,4.38354e+07,-4.38332e+07,-652647,652680,4.38354e+07,-4.38332e+07,-652647,652680
887,2073.72,30.9924,4.41247e+07,-4.41226e+07,-367555,367586,4.41247e+07,-4.41226e+07,-367555,367586
896,1948.82,29.3276,4.41325e+07,-4.41306e+07,-81512.8,81542.1,4.41325e+07,-4.41306e+07,-81512.8,81542.1
905,1843.37,27.7184,4.38513e+07,-4.38494e+07,199643,-199615,4.38513e+07,-4.38494e+07,199643,-199615
914,1745.6,26.1322,4.32977e+07,-4.3296e+07,467484,-467458,4.32977e+07,-4.3296e+07,467484,-467458
923,1619.45,24.5204,4.25006e+07,-4.24989e+07,712582,-712558,4.25006e+07,-4.24989e+07,712582,-712558
932,1562.39,23.0823,4.14894e+07,-4.14878e+07,926888,-926865,4.14894e+07,-4.14878e+07,926888,-926865
941,1437.55,21.6694,4.02953e+07,-4.02939e+07,1.10329e+06,-1.10327e+06,4.02953e+07,-4.02939e+07,1.10329e+06,-1.10327e+06
950,1342.39,20.4092,3.89444e+07,-3.89431e+07,1.23515e+06,-1.23513e+06,3.89444e+07,-3.89431e+07,1.23515e+06,-1.23513e+06
959,1285.75,19.2974,3.74661e+07,-3.74649e+07,1.31746e+06,-1.31744e+06,3.74661e+07,-3.74649e+07,1.31746e+06,-1.31744e+06
968,1232.84,18.3514,3.5913e+07,-3.59117e+07,1.34861e+06,-1.34859e+06,3.5913e+07,-3.59117e+07,1.34861e+06,-1.34859e+06
977,1129.03,17.5317,3.43392e+07,-3.4338e+07,1.32827e+06,-1.32825e+06,3.43392e+07,-3.4338e+07,1.32827e+06,-1.32825e+06
986,1103.57,16.8704,3.27939e+07,-3.27928e+07,1.25645e+06,-1.25643e+06,3.27939e+07,-3.27928e+07,1.25645e+06,-1.25643e+06
995,1087.32,16.4266,3.13226e+07,-3.13216e+07,1.13288e+06,-1.13286e+06,3.13226e+07,-3.13216e+07,1.13288e+06,-1.13286e+06
1004,1024.83,16.0945,2.99668e+07,-2.99658e+07,957980,-957964,2.99668e+07,-2.99658e+07,957980,-957964
1013,1079.48,15.9247,2.87581e+07,-2.8757e+07,736990,-736974,2.87581e+07,-2.8757e+07,736990,-736974
1022,1032.41,15.8985,2.77313e+07,-2.77303e+07,477421,-477405,2.77313e+07,-2.77303e+07,477421,-477405
1031,1040.79,15.9308,2.6913e+07,-2.6912e+07,189270,-189254,2.6913e+07,-2.6912e+07,189270,-189254
1040,1055.91,16.0833,2.63295e+07,-2.63285e+07,-120428,120444,2.63295e+07,-2.63285e+07,-120428,120444
1049,1081.98,16.3374,2.59995e+07,-2.59985e+07,-443296,443312,2.59995e+07,-2.59985e+07,-443296,443312
1058,1129.81,16.5736,2.59409e+07,-2.59398e+07,-773225,773241,2.59409e+07,-2.59398e+07,-773225,773241
1067,1122.39,16.8365,2.61418e+07,-2.61407e+07,-1.09998e+06,1.1e+06,2.61418e+07,-2.61407e+07,-1.09998e+06,1.1e+06
1076,1153.29,17.1267,2.65827e+07,-2.65816e+07,-1.41273e+06,1.41275e+06,2.65827e+07,-2.65816e+07,-1.41273e+06,1.41275e+06
1085,1217.71,17.4098,2.72429e+07,-2.72417e+07,-1.70186e+06,1.70188e+06,2.72429e+07,-2.72417e+07,-1.70186e+06,1.70188e+06
1094,1216.98,17.6288,2.81029e+07,-2.81017e+07,-1.9585e+06,1.95852e+06,2.81029e+07,-2.81017e+07,-1.9585e+06,1.95852e+06
1103,1211.44,17.8283,2.91477e+07,-2.91465e+07,-2.17525e+06,2.17527e+06,2.91477e+07,-2.91465e+07,-2.17525e+06,2.17527e+06
1112,1213.36,17.9199,3.03492e+07,-3.0348e+07,-2.34651e+06,2.34653e+06,3.03492e+07,-3.0348e+07,-2.34651e+06,2.34653e+06
1121,1246.29,17.9285,3.16573e+07,-3.1656e+07,-2.4692e+06,2.46922e+06,3.16573e+07,-3.1656e+07,-2.4692e+06,2.46922e+06
1130,1237.54,17.9316,3.30217e+07,-3.30204e+07,-2.54088e+06,2.5409e+06,3.30217e+07,-3.30204e+07,-2.54088e+06,2.5409e+06
1139,1215.83,17.817,3.43989e+07,-3.43976e+07,-2.55983e+06,2.55985e+06,3.43989e+07,-3.43976e+07,-2.55983e+06,2.55985e+06
1148,1212.52,17.653,3.57476e+07,-3.57464e+07,-2.52416e+06,2.52417e+06,3.57476e+07,-3.57464e+07,-2.52416e+06,2.52417e+06
