Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
SDSS18721,0.39135,41.584881,0.148848,41.547273,0.037608067,41.564476,0.020404489
05D4ff,0.400485,41.549539,0.087548,41.607619,-0.058080443,41.624658,-0.07511914
SDSS19757,0.40128,41.390726,0.134806,41.612812,-0.22208525,41.629836,-0.23910962
06D3ed,0.404549,41.81249,0.086483,41.634065,0.17842499,41.651031,0.1614595
05D4dt,0.405478,41.859724,0.086962,41.640077,0.21964706,41.657026,0.20269829
06D4cq,0.40947,41.784188,0.086547,41.665768,0.11842041,41.682645,0.10154344
04D2fp,0.416632,41.805162,0.087194,41.711295,0.093867619,41.728043,0.077119249
05D2dw,0.418633,41.721512,0.087692,41.723888,-0.0023750898,41.7406,-0.019087582
05D3cf,0.419569,41.926438,0.087595,41.729759,0.19667858,41.746455,0.17998286
04D4gg,0.422452,41.692885,0.08807,41.74777,-0.054885277,41.764414,-0.071529363
05D2cb,0.428646,42.081888,0.089103,41.786092,0.29579667,41.802625,0.27926335
04D1rh,0.434861,41.900171,0.087188,41.82404,0.076131118,41.840462,0.059708713
06D4co,0.435446,41.663732,0.086944,41.827586,-0.1638541,41.843998,-0.18026608
06D3df,0.442548,41.957619,0.08709,41.870299,0.087319592,41.886585,0.071034043
06D2gb,0.443668,41.858169,0.091594,41.876978,-0.018809036,41.893244,-0.035074673
03D3aw,0.449562,42.09792,0.091912,41.911875,0.1860454,41.928036,0.1698844
04D3gt,0.451556,41.668287,0.087828,41.923586,-0.25529908,41.939712,-0.27142472
04D2gb,0.451681,41.642176,0.088233,41.924319,-0.282143,41.940442,-0.29826643
03D3cd,0.461274,42.021038,0.095948,41.979998,0.04104077,41.995951,0.025087065
05D3lc,0.461564,42.062843,0.087413,41.981664,0.081178094,41.997613,0.06522951
03D4au,0.466414,42.51309,0.09035,42.009398,0.50369262,42.025261,0.48782961
04D4jr,0.468406,42.095314,0.087451,42.020712,0.074601375,42.03654,0.058773458
04D4ju,0.470398,42.396229,0.088446,42.031983,0.36424614,42.047776,0.3484533
05D3mx,0.470573,42.080709,0.088704,42.032971,0.047737672,42.048761,0.031947909
04D3df,0.470586,41.962434,0.087988,42.033044,-0.070610769,42.048834,-0.086400303
05D2bv,0.475707,42.086819,0.087947,42.06181,0.025009772,42.077509,0.0093102757
05D3dd,0.480568,42.060041,0.088055,42.088854,-0.028813461,42.104468,-0.044427654
05D2ac,0.480704,42.047102,0.087736,42.089607,-0.042504642,42.105219,-0.058116452
05D1ix,0.4888,42.207458,0.08839,42.134088,0.07337047,42.149558,0.057900365
03D1ax,0.494795,42.21649,0.08811,42.166593,0.049896843,42.181959,0.034531373
05D4af,0.497379,42.25339,0.088758,42.180493,0.072897003,42.195813,0.057576556
06D2bk,0.500728,42.376417,0.089131,42.198409,0.17800754,42.213671,0.16274538
03D1au,0.503084,42.269525,0.088031,42.210948,0.058576896,42.226169,0.043355684
05D4av,0.507371,42.213205,0.089015,42.233625,-0.020420892,42.248772,-0.035567688
05D2dy,0.511746,42.495409,0.088554,42.256588,0.23882105,42.271659,0.22375006
04D1pg,0.513793,42.442246,0.090087,42.267271,0.1749758,42.282306,0.15994023
04D4in,0.514353,42.363951,0.088897,42.270186,0.093764443,42.285212,0.078738559
04D2mj,0.514746,42.560964,0.090306,42.27223,0.28873402,42.28725,0.27371494
05D3ci,0.515587,42.452603,0.106833,42.2766,0.17600265,42.291605,0.1609981
06D3el,0.519611,42.471136,0.088502,42.29742,0.17371614,42.312355,0.15878108
04D2gc,0.522762,42.482671,0.089115,42.313619,0.16905111,42.3285,0.15417038
06D2ca,0.532765,42.392305,0.08987,42.364458,0.02784709,42.379167,0.013138334
06D2cc,0.533766,42.173706,0.09473,42.369497,-0.19579124,42.384188,-0.21048283
05D4ek,0.534335,42.165507,0.090128,42.372357,-0.20685029,42.387039,-0.22153212
05D4be,0.535327,42.500563,0.08873,42.377337,0.1232254,42.392002,0.10856057
05D2eb,0.535771,42.338122,0.091256,42.379564,-0.04144205,42.394221,-0.056099273
04D4bq,0.548325,42.164539,0.09145,42.44182,-0.27728089,42.456262,-0.29172364
06D4bo,0.550315,42.509848,0.089299,42.451567,0.058280647,42.465976,0.043871784
04D3hn,0.552605,42.229237,0.089654,42.462745,-0.2335076,42.477114,-0.24787751
06D2ck,0.553797,42.561602,0.091857,42.468546,0.093056045,42.482895,0.078706398
05D1ee,0.557743,42.486901,0.090291,42.487668,-0.00076722476,42.50195,-0.015049878
05D1kl,0.558743,42.87907,0.092898,42.492494,0.38657598,42.50676,0.37231029
04D1hx,0.558746,42.443857,0.089573,42.492508,-0.048650992,42.506774,-0.062916637
05D1cc,0.562751,42.563852,0.090329,42.511757,0.05209443,42.525955,0.037896623
05D1dn,0.564741,42.574373,0.089709,42.521275,0.053098474,42.535439,0.038934327
