Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
2013gs,0.01748,34.2221,0.320412,34.248413,-0.026313301,34.248413,-0.026313301
2000dr,0.01765,34.2975,0.318912,34.269688,0.027812209,34.269688,0.027812209
2006ax,0.01774,34.3133,0.19782,34.280869,0.032431075,34.280869,0.032431075
2006ax,0.01774,34.3228,0.200241,34.280869,0.041931075,34.280869,0.041931075
2007as,0.01791,34.2661,0.234211,34.301837,-0.035736755,34.301837,-0.035736755
ASASSN-17co,0.01791,34.2005,0.280568,34.301837,-0.10133675,34.301837,-0.10133675
PS15coh,0.01796,34.4393,0.226901,34.307966,0.13133365,34.307966,0.13133365
1992bo,0.01805,34.6078,0.20147,34.318957,0.28884274,34.318957,0.28884274
2011fs,0.01822,34.5466,0.215514,34.339571,0.20702906,34.339571,0.20702906
2011fs,0.01822,34.4866,0.321023,34.339571,0.14702906,34.339571,0.14702906
2008hs,0.01835,34.7394,0.433516,34.355207,0.38419344,34.355207,0.38419344
2008hs,0.01835,34.757,0.466611,34.355207,0.40179344,34.355207,0.40179344
ASASSN-16cs,0.01839,34.4286,0.281407,34.359996,0.068604491,34.359996,0.068604491
ATLAS16cpu,0.01851,34.5716,0.239989,34.374301,0.19729912,34.374301,0.19729912
2016ffh,0.01851,34.6171,0.238984,34.374301,0.24279912,34.374301,0.24279912
2016W,0.01855,34.3648,0.295725,34.379049,-0.01424899,34.379049,-0.01424899
2002jy,0.0187,34.9988,0.187715,34.396765,0.6020352,34.396765,0.6020352
2000cu,0.01902,34.6066,0.277471,34.434094,0.17250586,34.434094,0.17250586
2010ai,0.01918,34.9792,0.21848,34.452527,0.52667309,34.452527,0.52667309
2009gf,0.01925,34.492,0.255362,34.460544,0.031456436,34.460544,0.031456436
2009gf,0.01925,34.576,0.296243,34.460544,0.11545644,34.460544,0.11545644
2006ej,0.01926,34.5995,0.188309,34.461686,0.13781355,34.461686,0.13781355
2006ej,0.01926,34.6482,0.187832,34.461686,0.18651355,34.461686,0.18651355
2006ej,0.01926,34.5012,0.295566,34.461686,0.03951355,34.461686,0.03951355
2006ej,0.01926,34.576,0.189903,34.461686,0.11431355,34.461686,0.11431355
2002kf,0.01948,34.6854,0.204275,34.486683,0.19871716,34.486683,0.19871716
2006kf,0.01955,34.8085,0.195531,34.494578,0.31392216,34.494578,0.31392216
2006kf,0.01955,34.7747,0.195403,34.494578,0.28012216,34.494578,0.28012216
1992bc,0.01976,34.5121,0.199486,34.518096,-0.0059964946,34.518096,-0.0059964946
SN2016ajf,0.01978,34.7627,0.339971,34.520323,0.24237651,34.520323,0.24237651
2001dl,0.01983,35.1263,0.375783,34.525881,0.60041874,34.525881,0.60041874
2007au,0.01992,34.6865,0.406241,34.535851,0.1506495,34.535851,0.1506495
AT2016eoa,0.01993,34.6693,0.230687,34.536955,0.13234455,34.536955,0.13234455
ASASSN-16lc,0.02001,34.6956,0.216494,34.545775,0.14982461,34.545775,0.14982461
ASASSN-17bs,0.02014,34.5647,0.249505,34.560034,0.0046661363,34.560034,0.0046661363
2018fop,0.02017,34.5899,0.199177,34.563311,0.026588617,34.563311,0.026588617
ATLAS16dqf,0.02019,34.5749,0.375822,34.565494,0.0094062746,34.565494,0.0094062746
2016hpw,0.02019,34.8165,0.241825,34.565494,0.25100627,34.565494,0.25100627
2009ds,0.02033,34.5072,0.233893,34.580711,-0.073510667,34.580711,-0.073510667
2009ds,0.02033,34.702,0.19246,34.580711,0.12128933,34.580711,0.12128933
PSNJ1602512,0.02039,34.556,0.333904,34.587201,-0.031200593,34.587201,-0.031200593
2001br,0.02046,34.8118,0.300223,34.594748,0.21705159,34.594748,0.21705159
2007st,0.02061,34.4168,0.217156,34.610837,-0.19403688,34.610837,-0.19403688
2005ki,0.02066,34.5709,0.187708,34.616174,-0.045274049,34.616174,-0.045274049
2005ki,0.02066,34.4931,0.19075,34.616174,-0.12307405,34.616174,-0.12307405
2005ki,0.02066,34.5656,0.177716,34.616174,-0.050574049,34.616174,-0.050574049
2010A,0.02079,34.4863,0.330445,34.629991,-0.14369129,34.629991,-0.14369129
2003W,0.02087,34.6349,0.254511,34.638452,-0.0035519227,34.638452,-0.0035519227
2003W,0.02087,34.674,0.230899,34.638452,0.035548077,34.638452,0.035548077
ASASSN-16lg,0.02093,34.375,0.203089,34.644776,-0.26977643,34.644776,-0.26977643
ASASSN-15uv,0.02104,34.6114,0.393324,34.656325,-0.04492507,34.656325,-0.04492507
ASASSN-15lg,0.02121,34.6552,0.214591,34.674056,-0.018856383,34.674056,-0.018856383
2006et,0.0214,34.7742,0.253646,34.693709,0.080491332,34.693709,0.080491332
2006et,0.0214,34.7583,0.283448,34.693709,0.064591332,34.693709,0.064591332
2008Z,0.02146,35.118,0.310686,34.699879,0.41812107,34.699879,0.41812107
2008Z,0.02146,35.2056,0.304103,34.699879,0.50572107,34.699879,0.50572107
ASASSN-18da,0.02157,34.7709,0.195863,34.711147,0.059752971,34.711147,0.059752971
2006dm,0.02161,34.8059,0.18018,34.71523,0.090669518,34.71523,0.090669518
2006dm,0.02161,34.8234,0.25811,34.71523,0.10816952,34.71523,0.10816952
2009dc,0.02179,34.3468,0.19901,34.733514,-0.3867143,34.733514,-0.3867143
2000fa,0.02181,34.759,0.288719,34.735537,0.023463363,34.735537,0.023463363
2000fa,0.02181,34.7997,0.25527,34.735537,0.064163363,34.735537,0.064163363
2007bc,0.02187,34.7344,0.177177,34.741593,-0.0071927041,34.741593,-0.0071927041
2007bc,0.02187,34.7419,0.187753,34.741593,0.00030729587,34.741593,0.00030729587
2007bc,0.02187,34.7561,0.180584,34.741593,0.014507296,34.741593,0.014507296
1995ak,0.02193,34.6739,0.247785,34.747632,-0.073732419,34.747632,-0.073732419
ASASSN-18iu,0.02202,34.8847,0.186029,34.756662,0.12803847,34.756662,0.12803847
2004bw,0.02207,34.8194,0.196425,34.761662,0.057738006,34.761662,0.057738006
2009na,0.02209,34.7477,0.199095,34.763659,-0.015959056,34.763659,-0.015959056
2004bg,0.02214,34.8704,0.204479,34.768644,0.10175607,34.768644,0.10175607
2004bg,0.02214,34.7727,0.199004,34.768644,0.0040560731,34.768644,0.0040560731
2002cu,0.02217,34.7814,0.224663,34.77163,0.0097704725,34.77163,0.0097704725
