ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te,Dl_LambdaCDM_ee,residual_LambdaCDM_ee
1211,975.189,6.31648,21.2917,1321.11,-345.92,-34.4897,40.8061,12.567,8.72468,1321.11,-345.92,-34.4897,40.8061,12.567,8.72468
1220,970.73,11.2854,18.0007,1301.9,-331.168,-24.9297,36.2151,12.442,5.55863,1301.9,-331.168,-24.9297,36.2151,12.442,5.55863
1229,906.514,0.795071,24.1192,1276.48,-369.963,-15.8681,16.6632,12.7106,11.4086,1276.48,-369.963,-15.8681,16.6632,12.7106,11.4086
1238,895.506,-1.70669,26.9876,1245.48,-349.976,-7.5843,5.87761,13.3522,13.6353,1245.48,-349.976,-7.5843,5.87761,13.3522,13.6353
1247,860.053,6.50815,28.9322,1209.39,-349.335,-0.317866,6.82602,14.3464,14.5858,1209.39,-349.335,-0.317866,6.82602,14.3464,14.5858
1256,805.618,-5.07351,28.2583,1168.61,-362.993,5.73841,-10.8119,15.6731,12.5852,1168.61,-362.993,5.73841,-10.8119,15.6731,12.5852
1265,777.489,-10.6252,32.123,1124.3,-346.807,10.4667,-21.0919,17.2739,14.8491,1124.3,-346.807,10.4667,-21.0919,17.2739,14.8491
1274,770.016,-6.18903,28.0386,1077.93,-307.91,13.7929,-19.9819,19.0658,8.97288,1077.93,-307.91,13.7929,-19.9819,19.0658,8.97288
1283,736.545,-25.4341,25.1459,1030.81,-294.269,15.6645,-41.0985,20.9757,4.17021,1030.81,-294.269,15.6645,-41.0985,20.9757,4.17021
1292,758.18,-27.8221,32.7948,984.042,-225.861,16.0382,-43.8604,22.9383,9.85654,984.042,-225.861,16.0382,-43.8604,22.9383,9.85654
1301,733.856,-31.3034,32.8301,938.512,-204.655,14.8767,-46.18,24.9042,7.92589,938.512,-204.655,14.8767,-46.18,24.9042,7.92589
1310,712.532,-45.6622,32.308,895.025,-182.492,12.2029,-57.865,26.8227,5.48528,895.025,-182.492,12.2029,-57.865,26.8227,5.48528
1319,718.903,-45.3274,37.0351,854.524,-135.621,8.23083,-53.5582,28.6237,8.4114,854.524,-135.621,8.23083,-53.5582,28.6237,8.4114
1328,723.408,-52.8192,22.7581,817.855,-94.4471,3.1875,-56.0067,30.2465,-7.48838,817.855,-94.4471,3.1875,-56.0067,30.2465,-7.48838
1337,757.937,-50.5695,32.7284,785.719,-27.7824,-2.72814,-47.8414,31.6367,1.0917,785.719,-27.7824,-2.72814,-47.8414,31.6367,1.0917
1346,737.666,-57.1386,25.6747,758.709,-21.0427,-9.35161,-47.787,32.7489,-7.07421,758.709,-21.0427,-9.35161,-47.787,32.7489,-7.07421
1355,765.134,-65.5484,22.1336,737.302,27.8326,-16.5462,-49.0022,33.5438,-11.4102,737.302,27.8326,-16.5462,-49.0022,33.5438,-11.4102
1364,776.923,-62.1891,20.8649,721.569,55.3535,-24.0883,-38.1007,34.0084,-13.1435,721.569,55.3535,-24.0883,-38.1007,34.0084,-13.1435
1373,777.362,-56.4015,13.9711,711.195,66.1668,-31.6694,-24.7321,34.1435,-20.1724,711.195,66.1668,-31.6694,-24.7321,34.1435,-20.1724
1382,773.981,-47.5995,19.7096,705.864,68.1176,-39.0215,-8.57802,33.9531,-14.2434,705.864,68.1176,-39.0215,-8.57802,33.9531,-14.2434
1391,806.044,-66.4348,18.9034,705.284,100.76,-45.9109,-20.5239,33.439,-14.5356,705.284,100.76,-45.9109,-20.5239,33.439,-14.5356
1400,830.177,-61.3485,26.3292,709.29,120.887,-52.1539,-9.19459,32.6035,-6.27431,709.29,120.887,-52.1539,-9.19459,32.6035,-6.27431
1409,822.186,-54.6345,5.1988,717.58,104.606,-57.5918,2.95725,31.4547,-26.2559,717.58,104.606,-57.5918,2.95725,31.4547,-26.2559
1418,818.106,-52.4991,20.0139,729.177,88.9289,-62.0936,9.5945,30.0462,-10.0323,729.177,88.9289,-62.0936,9.5945,30.0462,-10.0323
1427,796.252,-38.2634,20.0412,743.086,53.166,-65.5586,27.2951,28.4385,-8.39737,743.086,53.166,-65.5586,27.2951,28.4385,-8.39737
1436,803.463,-40.2416,13.1922,758.408,45.055,-67.8961,27.6545,26.6832,-13.491,758.408,45.055,-67.8961,27.6545,26.6832,-13.491
1445,798.655,-37.8014,10.43,774.373,24.2815,-69.0264,31.2251,24.8227,-14.3927,774.373,24.2815,-69.0264,31.2251,24.8227,-14.3927
1454,773.833,-26.0106,2.1953,790.334,-16.5004,-68.8756,42.8649,22.8905,-20.6952,790.334,-16.5004,-68.8756,42.8649,22.8905,-20.6952
1463,762.183,-21.7373,18.35,805.646,-43.4625,-67.4752,45.7379,20.9336,-2.58364,805.646,-43.4625,-67.4752,45.7379,20.9336,-2.58364
1472,749.532,-9.44394,12.4154,819.456,-69.9242,-64.9624,55.5184,19.0156,-6.60027,819.456,-69.9242,-64.9624,55.5184,19.0156,-6.60027
1481,738.185,2.7698,16.5295,831.022,-92.8365,-61.4678,64.2376,17.1929,-0.663467,831.022,-92.8365,-61.4678,64.2376,17.1929,-0.663467
1490,727.424,-4.9052,14.6158,839.739,-112.314,-57.1012,52.196,15.5136,-0.897811,839.739,-112.314,-57.1012,52.196,15.5136,-0.897811
1499,701.642,-1.96257,-1.3298,845.024,-143.382,-51.9475,49.9849,14.0181,-15.3479,845.024,-143.382,-51.9475,49.9849,14.0181,-15.3479
1512,655.678,7.47919,21.9852,845.766,-190.088,-43.3179,50.7971,12.2454,9.73981,845.766,-190.088,-43.3179,50.7971,12.2454,9.73981
1529,588.39,9.37829,16.3364,834.375,-245.986,-30.9293,40.3076,10.6898,5.64652,834.375,-245.986,-30.9293,40.3076,10.6898,5.64652
1546,547.01,10.0139,17.2441,809.204,-262.194,-18.561,28.5749,10.0659,7.17815,809.204,-262.194,-18.561,28.5749,10.0659,7.17815
1563,503.657,-0.414165,16.8062,770.438,-266.781,-7.26207,6.84791,10.4186,6.38753,770.438,-266.781,-7.26207,6.84791,10.4186,6.38753
1580,468.039,-1.86885,6.00044,721.326,-253.286,2.05437,-3.92322,11.5807,-5.58025,721.326,-253.286,2.05437,-3.92322,11.5807,-5.58025
1597,429.111,-9.9112,23.6655,665.94,-236.829,8.61855,-18.5297,13.3282,10.3373,665.94,-236.829,8.61855,-18.5297,13.3282,10.3373
1614,407.925,-9.49197,28.6547,607.335,-199.409,11.8647,-21.3566,15.4816,13.1731,607.335,-199.409,11.8647,-21.3566,15.4816,13.1731
1631,399.577,-25.3687,25.01,549.656,-150.08,11.9273,-37.296,17.7464,7.26358,549.656,-150.08,11.9273,-37.296,17.7464,7.26358
1648,389.097,-22.7408,15.7028,496.913,-107.817,9.12404,-31.8648,19.825,-4.12219,496.913,-107.817,9.12404,-31.8648,19.825,-4.12219
1665,391.497,-25.4964,25.7318,452.082,-60.5856,3.7277,-29.2241,21.4947,4.23709,452.082,-60.5856,3.7277,-29.2241,21.4947,4.23709
1682,385.396,-29.9275,35.6797,416.651,-31.2549,-3.35069,-26.5768,22.596,13.0837,416.651,-31.2549,-3.35069,-26.5768,22.596,13.0837
1699,400.368,-26.1074,19.884,391.631,8.73656,-11.1687,-14.9387,23.0065,-3.12252,391.631,8.73656,-11.1687,-14.9387,23.0065,-3.12252
1716,393.039,-22.1731,-2.30435,377.602,15.4372,-18.9894,-3.18378,22.6414,-24.9457,377.602,15.4372,-18.9894,-3.18378,22.6414,-24.9457
1733,407.61,-28.2166,10.7442,372.71,34.9003,-26.0058,-2.2108,21.597,-10.8528,372.71,34.9003,-26.0058,-2.2108,21.597,-10.8528
1750,377.716,-22.2324,37.1788,374.926,2.78994,-31.4874,9.25504,19.9837,17.1951,374.926,2.78994,-31.4874,9.25504,19.9837,17.1951
1767,379.019,-13.1588,21.6818,382.509,-3.48968,-34.9135,21.7548,17.9017,3.78014,382.509,-3.48968,-34.9135,21.7548,17.9017,3.78014
1784,377.36,-11.8144,-18.8184,392.438,-15.0788,-36.2215,24.4071,15.5858,-34.4042,392.438,-15.0788,-36.2215,24.4071,15.5858,-34.4042
1801,358.796,-8.0874,23.4248,401.896,-43.1003,-35.394,27.3066,13.255,10.1698,401.896,-43.1003,-35.394,27.3066,13.255,10.1698
1818,342.446,-0.976027,18.7414,408.71,-66.2634,-32.496,31.5199,11.0796,7.66183,408.71,-66.2634,-32.496,31.5199,11.0796,7.66183
1835,313.006,-4.91613,16.6022,411.372,-98.3657,-28.1266,23.2105,9.22144,7.38073,411.372,-98.3657,-28.1266,23.2105,9.22144,7.38073
1852,305.378,1.81527,-6.23088,408.565,-103.187,-22.8332,24.6484,7.82391,-14.0548,408.565,-103.187,-22.8332,24.6484,7.82391,-14.0548
1869,276.147,-4.78882,36.2976,399.503,-123.356,-17.094,12.3052,6.97537,29.3222,399.503,-123.356,-17.094,12.3052,6.97537,29.3222
1886,265.911,1.66045,0.555329,385.099,-119.188,-11.5581,13.2186,6.64757,-6.09224,385.099,-119.188,-11.5581,13.2186,6.64757,-6.09224
1903,249.92,-11.107,-18.6965,366.118,-116.198,-6.80342,-4.30359,6.81695,-25.5135,366.118,-116.198,-6.80342,-4.30359,6.81695,-25.5135
1920,257.96,-8.76494,26.026,343.472,-85.5119,-3.23878,-5.52616,7.43181,18.5942,343.472,-85.5119,-3.23878,-5.52616,7.43181,18.5942
1937,245.342,-13.224,20.5827,319.212,-73.8697,-1.03065,-12.1933,8.33004,12.2526,319.212,-73.8697,-1.03065,-12.1933,8.33004,12.2526
1954,231.313,-5.86213,-42.7334,295.106,-63.7935,-0.346181,-5.51595,9.37374,-52.1071,295.106,-63.7935,-0.346181,-5.51595,9.37374,-52.1071
1971,229.279,-28.0519,51.929,272.571,-43.2926,-1.1957,-26.8562,10.4384,41.4905,272.571,-43.2926,-1.1957,-26.8562,10.4384,41.4905
1988,225.825,-27.8392,5.28485,252.89,-27.0655,-3.22328,-24.6159,11.3813,-6.09641,252.89,-27.0655,-3.22328,-24.6159,11.3813,-6.09641
2005,240.086,,,237.251,2.83563,-6.14985,,12.0755,,237.251,2.83563,-6.14985,,12.0755,
2030,233.983,,,222.516,11.4667,-11.3631,,12.4938,,222.516,11.4667,-11.3631,,12.4938,
2063,216.247,,,216.7,-0.453504,-17.6713,,11.8633,,216.7,-0.453504,-17.6713,,11.8633,
2096,204.908,,,221.571,-16.6623,-21.2304,,10.1019,,221.571,-16.6623,-21.2304,,10.1019,
2129,200.092,,,228.663,-28.5707,-20.7474,,7.81605,,228.663,-28.5707,-20.7474,,7.81605,
2162,168.762,,,230.174,-61.4116,-16.7847,,5.73908,,230.174,-61.4116,-16.7847,,5.73908,
2195,140.144,,,221.58,-81.4361,-10.8443,,4.41044,,221.58,-81.4361,-10.8443,,4.41044,
2228,129.223,,,202.479,-73.2556,-5.08735,,4.08402,,202.479,-73.2556,-5.08735,,4.08402,
2261,118.304,,,176.909,-58.6051,-1.23007,,4.57726,,176.909,-58.6051,-1.23007,,4.57726,
2294,118.51,,,150.233,-31.7237,-0.142245,,5.50523,,150.233,-31.7237,-0.142245,,5.50523,
2327,115.407,,,128.142,-12.7346,-1.63995,,6.34586,,128.142,-12.7346,-1.63995,,6.34586,
2360,114.999,,,113.641,1.35731,-4.60398,,6.71581,,113.641,1.35731,-4.60398,,6.71581,
2393,126.918,,,107.234,19.6837,-7.70084,,6.43346,,107.234,19.6837,-7.70084,,6.43346,
2426,90.007,,,106.582,-16.5746,-9.65657,,5.5793,,106.582,-16.5746,-9.65657,,5.5793,
2459,83.9457,,,107.988,-24.0423,-9.92176,,4.43576,,107.988,-24.0423,-9.92176,,4.43576,
2492,78.7067,,,107.981,-29.274,-8.52881,,3.328,,107.981,-29.274,-8.52881,,3.328,
