Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
05D4dt,0.405478,42.110665,0.086962,41.950016,0.16064983,41.950016,0.16064983
06D4cq,0.40947,42.03372,0.086547,41.975313,0.058407037,41.975313,0.058407037
04D2fp,0.416632,42.054728,0.087194,42.020136,0.034591904,42.020136,0.034591904
05D2dw,0.418633,41.970356,0.087692,42.032532,-0.062176138,42.032532,-0.062176138
05D3cf,0.419569,42.176704,0.087595,42.038312,0.138392,42.038312,0.138392
04D4gg,0.422452,41.941732,0.08807,42.056041,-0.11430899,42.056041,-0.11430899
05D2cb,0.428646,42.331146,0.089103,42.093756,0.23739031,42.093756,0.23739031
04D1rh,0.434861,42.149286,0.087188,42.131098,0.018187466,42.131098,0.018187466
06D4co,0.435446,41.914081,0.086944,42.134588,-0.22050616,42.134588,-0.22050616
06D3df,0.442548,42.20644,0.08709,42.17661,0.029829539,42.17661,0.029829539
06D2gb,0.443668,42.109787,0.091594,42.18318,-0.073392841,42.18318,-0.073392841
03D3aw,0.449562,42.347024,0.091912,42.217506,0.12951811,42.217506,0.12951811
04D3gt,0.451556,41.918692,0.087828,42.229025,-0.31033251,42.229025,-0.31033251
04D2gb,0.451681,41.893792,0.088233,42.229745,-0.33595353,42.229745,-0.33595353
03D3cd,0.461274,42.269134,0.095948,42.284499,-0.015365312,42.284499,-0.015365312
05D3lc,0.461564,42.313544,0.087413,42.286138,0.027406329,42.286138,0.027406329
03D4au,0.466414,42.762836,0.09035,42.313405,0.44943054,42.313405,0.44943054
04D4jr,0.468406,42.343723,0.087451,42.324529,0.019194004,42.324529,0.019194004
04D4ju,0.470398,42.645934,0.088446,42.335609,0.31032586,42.335609,0.31032586
05D3mx,0.470573,42.332299,0.088704,42.33658,-0.0042809022,42.33658,-0.0042809022
04D3df,0.470586,42.214609,0.087988,42.336652,-0.1220432,42.336652,-0.1220432
