Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
SDSS6315,0.26576,40.564483,0.114629,40.62279,-0.058307214,40.62279,-0.058307214
SDSS18463,0.26665,40.640702,0.120817,40.631096,0.0096055581,40.631096,0.0096055581
SDSS19002,0.2671,40.604091,0.116111,40.635286,-0.03119573,40.635286,-0.03119573
SDSS19702,0.26821,40.71525,0.121714,40.645594,0.069656006,40.645594,0.069656006
06D3fp,0.268489,40.601963,0.08555,40.648179,-0.046215243,40.648179,-0.046215243
SDSS18945,0.26856,40.816638,0.118128,40.648836,0.16780223,40.648836,0.16780223
03D4cj,0.268624,40.51915,0.086242,40.649428,-0.1302787,40.649428,-0.1302787
SDSS6192,0.27044,40.645286,0.118685,40.666184,-0.020898664,40.666184,-0.020898664
SDSS15287,0.27258,40.638106,0.11421,40.685797,-0.04769153,40.685797,-0.04769153
SDSS15356,0.27447,40.540653,0.118156,40.703002,-0.16234946,40.703002,-0.16234946
SDSS4046,0.27544,40.676202,0.119548,40.71179,-0.035587909,40.71179,-0.035587909
SDSS16072,0.27549,40.672605,0.127184,40.712242,-0.039637879,40.712242,-0.039637879
SDSS12869,0.27653,40.572846,0.126014,40.721631,-0.1487857,40.721631,-0.1487857
SDSS4000,0.27745,40.839397,0.128283,40.72991,0.10948742,40.72991,0.10948742
SDSS17791,0.27749,41.403843,0.136665,40.730269,0.67357382,40.730269,0.67357382
SDSS18485,0.27822,40.787053,0.117336,40.73682,0.050232962,40.73682,0.050232962
SDSS5957,0.27852,40.849748,0.118155,40.739507,0.11024094,40.739507,0.11024094
SDSS6196,0.27916,40.440035,0.11948,40.745231,-0.30519565,40.745231,-0.30519565
SDSS14261,0.27952,40.591051,0.121901,40.748445,-0.15739427,40.748445,-0.15739427
SDSS17809,0.28051,40.649922,0.122739,40.757266,-0.10734303,40.757266,-0.10734303
SDSS15584,0.28111,40.673262,0.11753,40.762597,-0.089335116,40.762597,-0.089335116
SDSS20227,0.28243,40.843344,0.11747,40.77429,0.069053821,40.77429,0.069053821
06D3dt,0.28251,40.937694,0.085709,40.774997,0.16269621,40.774997,0.16269621
SDSS20040,0.28351,40.737908,0.118366,40.78382,-0.045912656,40.78382,-0.045912656
03D4ag,0.28361,40.703312,0.086683,40.784701,-0.081388732,40.784701,-0.081388732
SDSS19128,0.28543,41.0361,0.119195,40.80068,0.23542029,40.80068,0.23542029
SDSS2165,0.28662,41.098935,0.11978,40.811078,0.2878572,40.811078,0.2878572
SDSS13757,0.28742,40.98442,0.118845,40.818045,0.16637492,40.818045,0.16637492
SDSS16402,0.28845,40.365663,0.116661,40.82699,-0.4613275,40.82699,-0.4613275
SDSS2789,0.28872,40.849092,0.124095,40.82933,0.019762003,40.82933,0.019762003
SDSS21006,0.29021,40.763225,0.116557,40.842207,-0.078981751,40.842207,-0.078981751
SDSS19596,0.29135,40.819653,0.12122,40.852018,-0.032364888,40.852018,-0.032364888
03D3ba,0.291718,40.758243,0.093479,40.855178,-0.096934621,40.855178,-0.096934621
SDSS19818,0.29192,40.740149,0.124168,40.85691,-0.11676156,40.85691,-0.11676156
SDSS6249,0.29287,40.817174,0.119196,40.865045,-0.047871526,40.865045,-0.047871526
SDSS19027,0.2935,40.492773,0.120303,40.870426,-0.37765325,40.870426,-0.37765325
SDSS19604,0.29448,41.079777,0.140875,40.878776,0.20100113,40.878776,0.20100113
SDSS19794,0.29542,40.808155,0.134209,40.886761,-0.078605683,40.886761,-0.078605683
SDSS13610,0.29678,40.739246,0.117785,40.898272,-0.15902653,40.898272,-0.15902653
SDSS15057,0.29762,40.728258,0.131068,40.905358,-0.17710008,40.905358,-0.17710008
SDSS6137,0.29888,41.091218,0.124118,40.915953,0.17526536,40.915953,0.17526536
SDSS14735,0.30001,40.642617,0.119386,40.925419,-0.28280222,40.925419,-0.28280222
SDSS5391,0.30021,40.885371,0.128841,40.927091,-0.041720464,40.927091,-0.041720464
SDSS20245,0.30041,40.492716,0.125866,40.928763,-0.43604604,40.928763,-0.43604604
06D4dh,0.30159,41.067761,0.086081,40.938601,0.12916011,40.938601,0.12916011
SDSS7143,0.3024,41.002212,0.118973,40.945334,0.056877513,40.945334,0.056877513
SDSS12883,0.30569,40.541317,0.1459,40.972514,-0.4311973,40.972514,-0.4311973
