Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_QRSF,residual_QRSF
05D1hk,0.261984,40.466483,0.08739,40.639346,-0.17286203,40.776155,-0.30967193
04D3ez,0.263487,40.479682,0.08555,40.653534,-0.17385169,40.790482,-0.31079977
SDSS2422,0.26349,40.870308,0.115945,40.653562,0.21674612,40.79051,0.079797755
SDSS20345,0.26357,40.422532,0.11624,40.654315,-0.23178236,40.791271,-0.36873809
SDSS2943,0.26405,40.585497,0.117962,40.658829,-0.073332317,40.795829,-0.21033224
SDSS13099,0.26451,40.702204,0.119638,40.663148,0.039056469,40.80019,-0.097985822
SDSS6315,0.26576,40.564483,0.114629,40.67485,-0.11036627,40.812007,-0.24752381
SDSS18463,0.26665,40.640702,0.120817,40.68315,-0.042448327,40.82039,-0.17968803
SDSS19002,0.2671,40.604091,0.116111,40.687338,-0.083246999,40.824619,-0.22052827
SDSS19702,0.26821,40.71525,0.121714,40.697639,0.017611122,40.835023,-0.11977278
06D3fp,0.268489,40.601963,0.08555,40.700222,-0.098258442,40.837632,-0.23566818
SDSS18945,0.26856,40.816638,0.118128,40.700879,0.11575942,40.838295,-0.021656881
03D4cj,0.268624,40.51915,0.086242,40.701471,-0.18232116,40.838893,-0.31974339
SDSS6192,0.27044,40.645286,0.118685,40.718216,-0.072930637,40.855807,-0.21052114
SDSS15287,0.27258,40.638106,0.11421,40.737817,-0.099711058,40.875606,-0.23750032
SDSS15356,0.27447,40.540653,0.118156,40.755011,-0.21435803,40.892976,-0.35232322
SDSS4046,0.27544,40.676202,0.119548,40.763793,-0.087590834,40.901849,-0.22564647
SDSS16072,0.27549,40.672605,0.127184,40.764245,-0.091640509,40.902305,-0.22970081
SDSS12869,0.27653,40.572846,0.126014,40.773628,-0.20078236,40.911785,-0.33893973
SDSS4000,0.27745,40.839397,0.128283,40.781901,0.057496047,40.920145,-0.080747277
SDSS17791,0.27749,41.403843,0.136665,40.782261,0.62158268,40.920508,0.48333561
SDSS18485,0.27822,40.787053,0.117336,40.788806,-0.0017538994,40.927122,-0.14006925
SDSS5957,0.27852,40.849748,0.118155,40.791492,0.058255824,40.929835,-0.080087607
SDSS6196,0.27916,40.440035,0.11948,40.797212,-0.35717711,40.935616,-0.49558046
SDSS14261,0.27952,40.591051,0.121901,40.800425,-0.20937361,40.938862,-0.34781069
SDSS17809,0.28051,40.649922,0.122739,40.809239,-0.15931672,40.947769,-0.2978466
SDSS15584,0.28111,40.673262,0.11753,40.814567,-0.14130529,40.953154,-0.27989148
SDSS20227,0.28243,40.843344,0.11747,40.826253,0.017091262,40.964963,-0.12161891
06D3dt,0.28251,40.937694,0.085709,40.826959,0.11073412,40.965677,-0.027983573
SDSS20040,0.28351,40.737908,0.118366,40.835777,-0.097868998,40.974588,-0.23668074
03D4ag,0.28361,40.703312,0.086683,40.836657,-0.13334456,40.975478,-0.27216571
SDSS19128,0.28543,41.0361,0.119195,40.852626,0.18347498,40.991618,0.044482381
SDSS2165,0.28662,41.098935,0.11978,40.863016,0.23591876,41.002121,0.096813873
SDSS13757,0.28742,40.98442,0.118845,40.869979,0.1144411,41.00916,-0.024739348
SDSS16402,0.28845,40.365663,0.116661,40.878918,-0.51325547,41.018196,-0.65253329
SDSS2789,0.28872,40.849092,0.124095,40.881256,-0.032164327,41.02056,-0.1714677
SDSS21006,0.29021,40.763225,0.116557,40.894125,-0.1308996,41.033569,-0.27034405
SDSS19596,0.29135,40.819653,0.12122,40.903929,-0.084276105,41.043482,-0.22382867
03D3ba,0.291718,40.758243,0.093479,40.907087,-0.14884372,41.046674,-0.28843121
SDSS19818,0.29192,40.740149,0.124168,40.908819,-0.16866956,41.048425,-0.30827621
SDSS6249,0.29287,40.817174,0.119196,40.916948,-0.099774079,41.056644,-0.23947096
SDSS19027,0.2935,40.492773,0.120303,40.922325,-0.42955213,41.062082,-0.5693089
SDSS19604,0.29448,41.079777,0.140875,40.930669,0.14910786,41.070519,0.0092578574
SDSS19794,0.29542,40.808155,0.134209,40.938649,-0.1304936,41.078588,-0.27043311
SDSS13610,0.29678,40.739246,0.117785,40.950152,-0.21090668,41.090222,-0.35097584
SDSS15057,0.29762,40.728258,0.131068,40.957233,-0.2289754,41.097383,-0.36912473
SDSS6137,0.29888,41.091218,0.124118,40.967821,0.12339728,41.10809,-0.01687243
SDSS14735,0.30001,40.642617,0.119386,40.977281,-0.33466382,41.117659,-0.47504162
SDSS5391,0.30021,40.885371,0.128841,40.978952,-0.09358094,41.119349,-0.23397788
SDSS20245,0.30041,40.492716,0.125866,40.980622,-0.48790536,41.121038,-0.62832145
06D4dh,0.30159,41.067761,0.086081,40.990454,0.077307481,41.130983,-0.063221644
SDSS7143,0.3024,41.002212,0.118973,40.997182,0.0050295537,41.137789,-0.13557725
SDSS12883,0.30569,40.541317,0.1459,41.024343,-0.48302647,41.165266,-0.62394939
SDSS15213,0.30632,41.040319,0.127264,41.029514,0.010805039,41.170497,-0.13017853
SDSS19632,0.30702,41.04173,0.126631,41.035247,0.0064827923,41.176298,-0.1345682
SDSS6699,0.30915,41.183872,0.122358,41.05262,0.13125185,41.193876,-0.010004585
SDSS5844,0.30929,41.122357,0.120483,41.053758,0.068599575,41.195028,-0.072670387
SDSS16211,0.30933,40.890216,0.137464,41.054083,-0.1638669,41.195357,-0.30514073
SDSS21042,0.31065,40.901058,0.124489,41.064788,-0.16372974,41.206189,-0.30513111
SDSS15383,0.31088,41.04566,0.12279,41.066649,-0.020988869,41.208073,-0.16241247
SDSS6649,0.31288,41.020099,0.118305,41.082779,-0.062679947,41.224396,-0.20429716
SDSS20142,0.31468,40.743123,0.118861,41.097215,-0.35409247,41.239007,-0.49588422
SDSS15776,0.31646,41.028737,0.121555,41.111417,-0.082679811,41.253381,-0.22464445
SDSS18617,0.32038,41.090022,0.12816,41.142435,-0.052412872,41.284782,-0.19475923
SDSS7475,0.32045,41.20966,0.117246,41.142986,0.066674081,41.285339,-0.075679103
05D2ab,0.324532,41.145546,0.086121,41.174912,-0.029365676,41.317664,-0.17211781
SDSS6924,0.3264,41.049397,0.11903,41.189399,-0.14000198,41.332334,-0.28293716
SDSS14456,0.32837,40.95845,0.124052,41.204595,-0.24614449,41.347723,-0.38927301
SDSS13830,0.32837,40.91823,0.134054,41.204595,-0.28636409,41.347723,-0.42949262
SDSS13934,0.32838,41.451418,0.136536,41.204671,0.24674614,41.347801,0.10361664
SDSS4241,0.33051,41.221878,0.12568,41.221007,0.00087105737,41.364346,-0.14246789
03D1fc,0.330932,41.057624,0.086437,41.224232,-0.16660824,41.367613,-0.30998872
SDSS4679,0.33103,40.994302,0.136212,41.224981,-0.23067823,41.368371,-0.37406835
SDSS20106,0.33136,41.312067,0.135299,41.227499,0.084568112,41.370922,-0.058854514
SDSS16093,0.33436,41.254482,0.132618,41.25029,0.0041913428,41.394009,-0.13952711
04D3kr,0.337534,41.247685,0.086047,41.2742,-0.026515045,41.418232,-0.17054728
SDSS2533,0.3388,41.30944,0.129777,41.283679,0.025761519,41.427836,-0.11839611
04D3nh,0.34052,41.285303,0.0859,41.296505,-0.011201754,41.440833,-0.15552994
03D1bp,0.345928,41.411108,0.087263,41.33645,0.074658627,41.481316,-0.070207355
05D2ie,0.349557,41.497971,0.086821,41.362933,0.13503794,41.508162,-0.010190227
