ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QRSF_tt,residual_QRSF_tt,Dl_QRSF_te,residual_QRSF_te,Dl_QRSF_ee,residual_QRSF_ee
1058,1129.81,-82.3317,37.0442,1131.75,-1.94439,-87.229,4.89723,29.6751,7.36918,1099.32,30.4864,-83.5683,1.23657,31.1788,5.86539
1067,1122.39,-80.9655,28.6378,1162.43,-40.0351,-87.3317,6.36621,26.7895,1.84825,1130.33,-7.94193,-85.2478,4.28234,28.3525,0.285284
1076,1153.29,-78.7501,25.1823,1191.76,-38.4679,-85.3655,6.61534,23.9584,1.22398,1161.35,-8.05947,-84.8214,6.07123,25.5227,-0.340393
1085,1217.71,-73.3497,20.9454,1218.14,-0.427131,-81.4855,8.13578,21.2687,-0.323321,1190.63,27.0824,-82.3919,9.04218,22.778,-1.83262
1094,1216.98,-76.2582,25.9907,1240.1,-23.1235,-75.8987,-0.359516,18.8009,7.18977,1216.57,0.405919,-78.1142,1.85595,20.2,5.79073
1103,1211.44,-56.3317,16.4541,1256.41,-44.9735,-68.8877,12.5559,16.6319,-0.177814,1237.81,-26.3716,-72.2188,15.8871,17.8669,-1.41274
1112,1213.36,-55.9813,15.7459,1266.14,-52.7741,-60.7569,4.77558,14.8224,0.923486,1253.23,-39.8702,-64.9746,8.99328,15.8441,-0.0982783
1121,1246.29,-48.5737,15.3649,1268.72,-22.4263,-51.8221,3.24847,13.4154,1.9495,1262.04,-15.7462,-56.6867,8.11302,14.1852,1.17976
1130,1237.54,-42.9851,15.5914,1263.82,-26.2772,-42.4172,-0.567892,12.4407,3.15069,1263.64,-26.0965,-47.6805,4.69539,12.9302,2.6612
1139,1215.83,-47.6841,13.6421,1251.47,-35.6345,-32.9028,-14.7813,11.9154,1.72678,1257.81,-41.9786,-38.3083,-9.37588,12.107,1.53511
1148,1212.52,-23.673,13.5995,1231.88,-19.353,-23.6334,-0.0395768,11.8404,1.75914,1244.52,-31.997,-28.9161,5.24311,11.7273,1.87224
1157,1220.58,-15.6744,14.5019,1205.53,15.0491,-14.9541,-0.720305,12.2019,2.29999,1224.01,-3.42981,-19.8443,4.16998,11.7876,2.71426
1166,1159.29,-21.3026,9.18108,1173.21,-13.9214,-7.15276,-14.1498,12.9726,-3.79154,1196.9,-37.6112,-11.4063,-9.89628,12.2703,-3.08925
1175,1143.31,-13.603,10.5746,1135.81,7.49928,-0.466355,-13.1366,14.112,-3.53735,1163.96,-20.6566,-3.87827,-9.72468,13.144,-2.56939
1184,1136.56,-5.79308,12.8028,1094.4,42.1571,4.9047,-10.6978,15.5671,-2.7643,1126.16,10.3999,2.49963,-8.29271,14.3649,-1.56211
1193,1086.25,-2.23866,12.7564,1050.15,36.0916,8.80204,-11.0407,17.274,-4.51754,1084.53,1.71836,7.52943,-9.76809,15.8782,-3.12175
1202,1005.41,0.797025,23.1519,1004.43,0.980075,11.1198,-10.3227,19.159,3.99291,1040.31,-34.9041,11.0656,-10.2686,17.6194,5.53257
1211,975.189,6.31648,21.2917,958.514,16.675,11.8118,-5.49531,21.1464,0.145287,994.75,-19.5614,13.0208,-6.70432,19.5187,1.77304
1220,970.73,11.2854,18.0007,913.604,57.1268,10.9,0.385404,23.1655,-5.16481,949.118,21.6122,13.3718,-2.08646,21.505,-3.50433
1229,906.514,0.795071,24.1192,870.806,35.7078,8.45686,-7.66179,25.1434,-1.02426,904.627,1.88645,12.1459,-11.3508,23.5044,0.614818
1238,895.506,-1.70669,26.9876,831.2,64.3065,4.61628,-6.32297,27.0101,-0.0225118,862.459,33.0474,9.43146,-11.1381,25.4453,1.54226
1247,860.053,6.50815,28.9322,795.7,64.3534,-0.448189,6.95634,28.6951,0.237066,823.63,36.4233,5.35664,1.15151,27.2563,1.67584
1256,805.618,-5.07351,28.2583,765.082,40.5354,-6.52077,1.44726,30.1338,-1.87548,789.024,16.594,0.0937341,-5.16724,28.871,-0.612717
