ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv4_tt,residual_USMFv4_tt,Dl_USMFv4_te,residual_USMFv4_te,Dl_USMFv4_ee,residual_USMFv4_ee
1121,1246.29,-48.5737,15.3649,1255.61,-9.32307,-57.0925,8.51883,14.3797,0.985192,1410.83,-164.54,10.3226,-58.8962,47.1093,-31.7444
1130,1237.54,-42.9851,15.5914,1260.59,-23.0524,-48.2921,5.30698,13.0447,2.54666,1347.13,-109.588,1.24006,-44.2252,49.4645,-33.8731
1139,1215.83,-47.6841,13.6421,1258.14,-42.3083,-39.0141,-8.67003,12.132,1.51018,1290.78,-74.9451,-8.90068,-38.7835,51.4955,-37.8534
1148,1212.52,-23.673,13.5995,1248.09,-35.5677,-29.6007,5.92771,11.6564,1.94315,1242.59,-30.0656,-19.8064,-3.86656,53.1283,-39.5288
1157,1220.58,-15.6744,14.5019,1230.57,-9.98682,-20.3899,4.7155,11.618,2.88394,1203.46,17.1166,-31.1884,15.514,54.2851,-39.7832
1166,1159.29,-21.3026,9.18108,1206.11,-46.8225,-11.7056,-9.59699,12.0025,-2.8214,1173.14,-13.8529,-42.8121,21.5095,54.962,-45.7809
1175,1143.31,-13.603,10.5746,1175.44,-32.1344,-3.84106,-9.7619,12.7821,-2.20745,1150.78,-7.4774,-54.4451,40.8421,55.1836,-44.609
1184,1136.56,-5.79308,12.8028,1139.46,-2.90034,2.94668,-8.73976,13.9166,-1.11375,1135.73,0.825919,-65.8188,60.0257,54.9626,-42.1597
1193,1086.25,-2.23866,12.7564,1099.15,-12.9047,8.44274,-10.6814,15.3546,-2.59815,1127.41,-41.1664,-76.6226,74.3839,54.3,-41.5436
1202,1005.41,0.797025,23.1519,1055.7,-50.2945,12.4847,-11.6877,17.0352,6.11669,1125.45,-120.039,-86.4942,87.2913,53.1881,-30.0362
1211,975.189,6.31648,21.2917,1010.33,-35.1411,14.9674,-8.65089,18.8913,2.40042,1129.27,-154.083,-95.1607,101.477,51.6358,-30.3441
1220,970.73,11.2854,18.0007,964.356,6.37412,15.8482,-4.56284,20.8521,-2.85144,1137.97,-167.236,-102.593,113.879,49.6979,-31.6972
1229,906.514,0.795071,24.1192,919.049,-12.5348,15.1347,-14.3397,22.8439,1.27526,1150.5,-243.987,-108.752,109.547,47.4322,-23.313
1238,895.506,-1.70669,26.9876,875.644,19.8625,12.8957,-14.6024,24.7955,2.19208,1165.81,-270.305,-113.536,111.829,44.899,-17.9115
1247,860.053,6.50815,28.9322,835.215,24.8385,9.23964,-2.73149,26.6355,2.29665,1182.67,-322.619,-116.803,123.311,42.1587,-13.2265
1256,805.618,-5.07351,28.2583,798.703,6.91501,4.31994,-9.39345,28.2977,-0.0393659,1199.79,-394.168,-118.389,113.316,39.2746,-11.0163
1265,777.489,-10.6252,32.123,766.928,10.5617,-1.65737,-8.96779,29.7272,2.39584,1216.43,-438.939,-118.316,107.691,36.301,-4.17794
1274,770.016,-6.18903,28.0386,740.494,29.5216,-8.4572,2.26817,30.8768,-2.83816,1232.11,-462.095,-116.733,110.544,33.2861,-5.2475
1283,736.545,-25.4341,25.1459,719.831,16.7146,-15.8228,-9.61128,31.7101,-6.56416,1246.18,-509.631,-113.769,88.335,30.2889,-5.14304
1292,758.18,-27.8221,32.7948,705.131,53.049,-23.4883,-4.33387,32.198,0.596848,1257.73,-499.552,-109.545,81.7229,27.3757,5.41908
1301,733.856,-31.3034,32.8301,696.414,37.4425,-31.1821,-0.121223,32.3277,0.50241,1265.71,-531.855,-104.176,72.8723,24.629,8.20112
1310,712.532,-45.6622,32.308,693.472,19.0603,-38.6418,-7.02033,32.0961,0.21185,1269.22,-556.692,-97.7915,52.1293,22.1177,10.1903
1319,718.903,-45.3274,37.0351,695.897,23.0055,-45.6142,0.286783,31.5132,5.52181,1268.34,-549.438,-90.5525,45.225,19.8571,17.178
1328,723.408,-52.8192,22.7581,703.121,20.2865,-51.8689,-0.950355,30.6042,-7.84614,1263.18,-539.768,-82.6447,29.8254,17.8658,4.89228
1337,757.937,-50.5695,32.7284,714.432,43.505,-57.2035,6.63399,29.4005,3.32793,1253.7,-495.765,-74.2823,23.7128,16.1686,16.5598
1346,737.666,-57.1386,25.6747,729.007,8.65931,-61.4502,4.31159,27.9424,-2.26765,1239.78,-502.115,-65.7141,8.57545,14.7992,10.8755
1355,765.134,-65.5484,22.1336,745.932,19.2021,-64.4768,-1.07159,26.2755,-4.14188,1221.21,-456.073,-57.2157,-8.33269,13.7946,8.33906
1364,776.923,-62.1891,20.8649,764.274,12.6488,-66.2073,4.01819,24.4569,-3.59199,1198.17,-421.242,-48.9663,-13.2227,13.1646,7.70032
1373,777.362,-56.4015,13.9711,783.045,-5.68343,-66.6039,10.2023,22.5439,-8.57282,1171.14,-393.778,-41.0511,-15.3504,12.8865,1.08454
1382,773.981,-47.5995,19.7096,801.272,-27.2901,-65.6738,18.0743,20.5969,-0.887241,1140.64,-366.664,-33.5957,-14.0038,12.9396,6.77006
1391,806.044,-66.4348,18.9034,818.002,-11.9577,-63.4585,-2.97628,18.674,0.229418,1107.21,-301.17,-26.7602,-39.6746,13.3006,5.60275
1400,830.177,-61.3485,26.3292,832.411,-2.23389,-60.0493,-1.29916,16.8337,9.4955,1071.51,-241.331,-20.7543,-40.5942,13.947,12.3822
1409,822.186,-54.6345,5.1988,843.741,-21.5547,-55.5649,0.930418,15.1278,-9.92904,1034.16,-211.977,-15.7623,-38.8722,14.8501,-9.65126
1418,818.106,-52.4991,20.0139,851.367,-33.2612,-50.161,-2.33806,13.6028,6.41108,995.586,-177.48,-11.7934,-40.7056,15.9785,4.03542
1427,796.252,-38.2634,20.0412,854.853,-58.6007,-44.0257,5.7623,12.2996,7.74153,956.277,-160.025,-8.83664,-29.4268,17.2964,2.74477
1436,803.463,-40.2416,13.1922,853.855,-50.3918,-37.3574,-2.8842,11.2499,1.94228,916.834,-113.371,-6.8908,-33.3508,18.7585,-5.56629
1445,798.655,-37.8014,10.43,848.16,-49.5053,-30.3651,-7.43628,10.4765,-0.0464694,877.981,-79.3264,-5.96572,-31.8356,20.3106,-9.88064
1454,773.833,-26.0106,2.1953,837.686,-63.8524,-23.2605,-2.75017,9.99229,-7.797,840.559,-66.7256,-6.07241,-19.9382,21.8898,-19.6945
1463,762.183,-21.7373,18.35,822.613,-60.4295,-16.2577,-5.47965,9.80072,8.54927,805.17,-42.9868,-7.18486,-14.5525,23.4505,-5.10048
1472,749.532,-9.44394,12.4154,803.212,-53.6809,-9.55718,0.113238,9.89487,2.52051,771.93,-22.3981,-9.21775,-0.226191,24.968,-12.5526
1481,738.185,2.7698,16.5295,779.884,-41.6991,-3.34653,6.11633,10.2592,6.2703,741.049,-2.86357,-12.0703,14.8401,26.411,-9.88155
1490,727.424,-4.9052,14.6158,753.165,-25.7407,2.20774,-7.11294,10.8698,3.74601,712.875,14.5488,-15.6207,10.7155,27.7398,-13.124
1499,701.642,-1.96257,-1.3298,723.613,-21.9708,6.964,-8.92657,11.6952,-13.0251,687.78,13.8625,-19.7221,17.7596,28.907,-30.2368
1512,655.678,7.47919,21.9852,677.232,-21.5539,12.205,-4.72585,13.1895,8.79571,657.613,-1.93509,-26.3151,33.7943,30.2205,-8.23531
1529,588.39,9.37829,16.3364,613.356,-24.966,15.8797,-6.50145,15.4835,0.852857,628.77,-40.3804,-35.6913,45.0695,31.2294,-14.8931
1546,547.01,10.0139,17.2441,550.394,-3.38355,15.8869,-5.873,17.8725,-0.628389,611.032,-64.0225,-45.1367,55.1506,31.4001,-14.156
