Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_QRSFv2,residual_QRSFv2
SDSS18612,0.11368,38.434426,0.111953,38.866459,-0.43203253,40.204019,-1.7695932
SDSS16641,0.11389,38.794576,0.113093,38.87073,-0.076154149,40.20816,-1.4135839
SDSS16619,0.11402,38.462485,0.11346,38.87337,-0.41088502,40.210719,-1.7482339
SDSS5395,0.11635,38.729957,0.111949,38.920218,-0.19026096,40.25612,-1.526163
SDSS8719,0.11651,38.672468,0.113022,38.923402,-0.25093395,40.259204,-1.5867366
SDSS2561,0.11741,38.700061,0.112518,38.941236,-0.24117506,40.276482,-1.5764207
SDSS19953,0.11767,38.741727,0.111671,38.946364,-0.20463692,40.281449,-1.539722
SDSS16259,0.11771,38.640093,0.113079,38.947152,-0.30705972,40.282213,-1.64212
SDSS1371,0.11771,38.527971,0.11196,38.947152,-0.41918079,40.282213,-1.754241
SDSS14871,0.11845,38.812895,0.111824,38.961684,-0.14878883,40.296287,-1.483392
SDSS18298,0.11863,38.416553,0.127194,38.965206,-0.54865284,40.299698,-1.8831449
SDSS13894,0.11966,38.95985,0.113363,38.985261,-0.025411758,40.319118,-1.3592689
SDSS5549,0.11967,38.717946,0.111976,38.985455,-0.26750902,40.319306,-1.60136
SDSS13044,0.11967,38.837411,0.112171,38.985455,-0.14804416,40.319306,-1.4818952
SDSS12860,0.12044,38.780122,0.113463,39.00034,-0.22021818,40.333718,-1.5535954
SDSS19543,0.12164,38.946145,0.112462,39.02336,-0.077214463,40.356,-1.4098549
SDSS18835,0.12262,38.707357,0.11183,39.041999,-0.33464274,40.374039,-1.6666824
SDSS16021,0.12276,38.737216,0.112478,39.044651,-0.30743414,40.376605,-1.6393881
SDSS21669,0.12281,38.662602,0.129766,39.045597,-0.38299462,40.37752,-1.714918
SDSS2916,0.12303,38.721556,0.119632,39.049756,-0.32819974,40.381545,-1.6599885
SDSS6406,0.12376,38.686488,0.111795,39.063506,-0.37701764,40.394848,-1.7083602
SDSS20470,0.1244,38.959303,0.113068,39.075497,-0.11619474,40.406449,-1.4471464
06D2fb,0.125298,38.812432,0.085713,39.092225,-0.27979277,40.422629,-1.6101969
SDSS13005,0.12593,38.931494,0.157613,39.10393,-0.17243667,40.43395,-1.5024562
SDSS2992,0.12608,38.626104,0.113495,39.1067,-0.48059639,40.436628,-1.8105246
SDSS744,0.12649,38.834716,0.118731,39.114255,-0.27953937,40.443934,-1.6092184
SDSS18855,0.12715,38.872201,0.111895,39.126369,-0.25416799,40.455647,-1.583446
SDSS16069,0.12739,38.792596,0.113191,39.130759,-0.33816334,40.459892,-1.6672958
SDSS18809,0.12837,38.870821,0.112485,39.148605,-0.27778356,40.477143,-1.6063219
SDSS22075,0.12893,38.840284,0.113756,39.158745,-0.31846072,40.486944,-1.6466601
SDSS1032,0.12903,38.873791,0.115931,39.160551,-0.28676019,40.48869,-1.6148992
SDSS5751,0.12953,38.807645,0.112137,39.169563,-0.36191808,40.4974,-1.6897549
SDSS18415,0.12961,38.956012,0.113841,39.171002,-0.21498937,40.49879,-1.5427777
SDSS20084,0.12961,39.141727,0.113865,39.171002,-0.029275,40.49879,-1.3570633
SDSS17280,0.13045,39.199031,0.147057,39.186059,0.012971828,40.51334,-1.3143095
SDSS14108,0.13243,39.234972,0.112393,39.221191,0.013780838,40.54728,-1.3123083
SDSS18602,0.13362,39.077669,0.113865,39.242068,-0.16439912,40.567443,-1.489774
