ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QRSFv2_tt,residual_QRSFv2_tt,Dl_QRSFv2_te,residual_QRSFv2_te,Dl_QRSFv2_ee,residual_QRSFv2_ee
797,2466.93,-89.1184,17.3212,2518.47,-51.5415,-94.4556,5.33719,15.0014,2.31983,3827.21,-1360.28,152.5,-241.618,32.9007,-15.5795
806,2493.81,-77.0153,16.1542,2534.08,-40.2777,-78.9737,1.95834,13.4155,2.73873,3627.81,-1134.01,155.328,-232.343,36.4629,-20.3087
815,2552.73,-64.7342,14.1638,2533.41,19.3166,-62.3142,-2.42009,12.2598,1.90401,3428.1,-875.374,154.716,-219.45,40.0237,-25.8599
824,2521.81,-49.9835,12.1229,2516.43,5.37886,-45.0122,-4.97129,11.5787,0.54415,3230.61,-708.809,150.854,-200.838,43.537,-31.4141
833,2495.02,-27.9085,11.6282,2482.8,12.2199,-27.5619,-0.346637,11.4029,0.225279,3037.56,-542.539,143.978,-171.887,46.9432,-35.315
842,2505.47,-17.8662,13.3085,2433.27,72.2006,-10.5091,-7.35711,11.7454,1.56307,2852.21,-346.745,134.271,-152.137,50.1649,-36.8564
851,2383.14,3.01617,13.0309,2369.01,14.1291,5.6267,-2.61053,12.5964,0.434492,2678.3,-295.158,121.941,-118.925,53.1024,-40.0715
860,2355.55,13.7369,15.4091,2291.18,64.3633,20.3868,-6.64987,13.9362,1.47285,2518.61,-163.059,107.252,-93.5152,55.6759,-40.2668
869,2237.42,27.841,16.3651,2202.19,35.2213,33.3443,-5.50334,15.7194,0.64568,2374.59,-137.179,90.4702,-62.6292,57.8675,-41.5024
878,2168.28,41.3423,17.5279,2103.65,64.6353,44.1695,-2.82723,17.8956,-0.367679,2246.45,-78.1717,71.9558,-30.6135,59.6698,-42.1419
887,2073.72,49.2007,22.0617,1998.27,75.452,52.5769,-3.37623,20.3868,1.67481,2135.5,-61.7769,52.1134,-2.91271,61.0479,-38.9862
896,1948.82,55.0267,24.2907,1888.26,60.5626,58.3302,-3.30347,23.1183,1.17235,2042.51,-93.6894,31.3966,23.6301,61.9699,-37.6792
905,1843.37,57.821,23.2827,1776.29,67.0786,61.373,-3.55197,25.9938,-2.71101,1968.7,-125.334,10.4241,47.397,62.3847,-39.1019
914,1745.6,67.5475,29.1072,1665.19,80.4151,61.6632,5.88431,28.917,0.190154,1914.53,-168.931,-10.439,77.9865,62.2801,-33.1729
923,1619.45,56.6996,31.4781,1557.3,62.1521,59.2541,-2.55444,31.7986,-0.320456,1879.21,-259.759,-30.9632,87.6629,61.684,-30.2059
932,1562.39,54.4174,35.4116,1454.81,107.583,54.3126,0.104799,34.5448,0.866764,1861.75,-299.356,-50.8135,105.231,60.6212,-25.2096
941,1437.55,50.1516,37.4935,1359.83,77.7172,47.0827,3.06897,37.0642,0.429272,1861.09,-423.546,-69.5775,119.729,59.1188,-21.6253
