ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_CPCfRGravityCosmology,residual_CPCfRGravityCosmology,Dl_CPCfRGravityCosmology_tt,residual_CPCfRGravityCosmology_tt,Dl_CPCfRGravityCosmology_te,residual_CPCfRGravityCosmology_te,Dl_CPCfRGravityCosmology_ee,residual_CPCfRGravityCosmology_ee
221,5816.48,17.9047,0.874199,6217,-400.519,11.6804,6.22424,0.811945,0.0622541,,,,,,,,
230,5684.66,26.6053,1.23818,6191.72,-507.064,27.2052,-0.599887,1.04807,0.190111,,,,,,,,
239,5776.16,46.2991,1.78071,6112.67,-336.519,43.2775,3.02155,1.42639,0.354322,,,,,,,,
248,5435.47,50.6637,2.10983,5981.73,-546.264,59.375,-8.71123,1.96491,0.144926,,,,,,,,
257,5228,71.5358,3.13386,5802.14,-574.144,74.9582,-3.42243,2.67579,0.458077,,,,,,,,
266,5090.29,86.4306,3.86066,5578.46,-488.165,89.4727,-3.04211,3.56537,0.295286,,,,,,,,
275,5096.49,106.963,5.31265,5317.29,-220.803,102.399,4.56338,4.63286,0.679789,,,,,,,,
284,4546.18,102.707,5.82483,5025.28,-479.097,113.26,-10.553,5.86869,-0.0438634,,,,,,,,
293,4371.25,117.073,8.21385,4710.08,-338.83,121.65,-4.57744,7.25464,0.959215,,,,,,,,
302,3935.72,117.089,9.31107,4379.25,-443.533,127.235,-10.1455,8.76325,0.54782,,,,,,,,
311,3649.99,119.046,10.9594,4040.87,-390.884,129.794,-10.7475,10.3604,0.599,,,,,,,,
320,3411.94,112.762,12.6384,3703.18,-291.237,129.203,-16.4406,12.0053,0.633116,,,,,,,,
329,3173.93,117.149,15.1816,3373.99,-200.061,125.443,-8.29373,13.6516,1.52993,,,,,,,,
338,2842.13,105.901,16.0657,3060.53,-218.402,118.604,-12.7035,15.2497,0.81595,,,,,,,,
347,2498.24,86.2064,16.2208,2769.24,-271.008,108.896,-22.6893,16.7497,-0.528884,,,,,,,,
356,2358.31,79.8487,18.6902,2505.25,-146.941,96.5901,-16.7414,18.1005,0.589693,,,,,,,,
