Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_CPCfRGravityCosmology,residual_CPCfRGravityCosmology
SDSS13736,0.14901,39.262975,0.112283,39.220735,0.042240133,39.225758,0.037216955
SDSS16206,0.15065,39.118932,0.113842,39.246794,-0.12786133,39.25182,-0.13288755
SDSS2031,0.15186,39.204258,0.112035,39.265851,-0.061593543,39.27088,-0.066621973
SDSS15132,0.15295,39.375366,0.111718,39.282898,0.092468264,39.287929,0.087437872
SDSS19353,0.15322,39.272281,0.113617,39.287104,-0.014822094,39.292134,-0.019852969
SDSS18323,0.15363,39.448143,0.115274,39.293476,0.15466661,39.298508,0.149635
SDSS17253,0.15463,39.371679,0.1715,39.308953,0.062726623,39.313986,0.057693258
SDSS5550,0.15473,39.335028,0.111655,39.310495,0.024532607,39.315529,0.019499067
SDSS18030,0.15506,39.511723,0.118308,39.315579,0.19614377,39.320613,0.19110965
SDSS18740,0.15575,39.142044,0.111931,39.326177,-0.18413333,39.331212,-0.18916864
SDSS16165,0.15596,39.343842,0.112725,39.329394,0.014448425,39.334429,0.0094127506
SDSS13354,0.15653,39.221901,0.113012,39.338104,-0.11620366,39.343141,-0.12124031
SDSS17171,0.15895,39.372873,0.145393,39.374762,-0.001889149,39.379803,-0.0069298753
SDSS15425,0.15935,39.113679,0.111983,39.380772,-0.26709291,39.385813,-0.2721343
SDSS17825,0.15999,39.420751,0.113136,39.390357,0.030393491,39.3954,0.025351053
SDSS3317,0.15999,39.263229,0.113095,39.390357,-0.1271287,39.3954,-0.13217114
SDSS2689,0.16035,39.250122,0.114045,39.395734,-0.14561116,39.400777,-0.15065418
SDSS5103,0.1605,39.327255,0.113217,39.39797,-0.070715227,39.403014,-0.075758496
SDSS13411,0.1618,39.568869,0.120879,39.417276,0.15159341,39.422321,0.14654805
SDSS20430,0.16284,39.558532,0.114429,39.432616,0.12591606,39.437663,0.12086906
SDSS19174,0.16357,39.286594,0.114386,39.44333,-0.15673644,39.448378,-0.1617846
SDSS20764,0.16387,39.453797,0.113522,39.44772,0.0060768873,39.452769,0.0010282692
SDSS3087,0.1644,39.365084,0.11306,39.455458,-0.090373751,39.460507,-0.095423188
SDSS19616,0.16455,39.387664,0.113442,39.457644,-0.069980192,39.462693,-0.07502986
SDSS12843,0.16565,39.202247,0.118455,39.473616,-0.27136902,39.478668,-0.27642036
SDSS12853,0.16817,39.333731,0.116716,39.50984,-0.17610956,39.514895,-0.18116465
SDSS15897,0.16869,39.544445,0.116161,39.517253,0.027192307,39.522308,0.02213646
05D3ne,0.169455,39.580732,0.088415,39.528119,0.052612895,39.533176,0.047555946
SDSS12856,0.17028,39.584277,0.112043,39.539786,0.044491147,39.544844,0.039433023
SDSS12855,0.17063,39.435724,0.114853,39.54472,-0.10899585,39.549779,-0.11405447
SDSS17220,0.17066,39.397723,0.115012,39.545143,-0.14741939,39.550201,-0.15247805
SDSS17389,0.1707,39.808694,0.115438,39.545706,0.26298807,39.550765,0.25792935
SDSS15453,0.17373,39.836681,0.114314,39.588018,0.24866329,39.593081,0.24360041
SDSS3080,0.17374,39.463768,0.112831,39.588156,-0.12438836,39.593219,-0.12945125
SDSS15648,0.17383,39.525192,0.122163,39.589403,-0.064210363,39.594466,-0.069273378
SDSS14421,0.17386,39.700435,0.112491,39.589818,0.11061751,39.594881,0.10555446
SDSS12927,0.17415,39.359493,0.118918,39.593829,-0.2343357,39.598892,-0.23939914
SDSS19969,0.1742,39.514497,0.113041,39.59452,-0.080022426,39.599583,-0.085085936
SDSS19282,0.17558,39.635173,0.113152,39.613517,0.021656034,39.618583,0.016590705
SDSS18807,0.17625,39.745679,0.113139,39.622691,0.12298846,39.627757,0.11792227
SDSS14979,0.17653,39.625476,0.11256,39.626515,-0.0010392082,39.631582,-0.0061057667
SDSS18604,0.17656,39.813561,0.113509,39.626925,0.18663691,39.631991,0.18157032
SDSS15365,0.17656,39.786039,0.113446,39.626925,0.15911463,39.631991,0.15404803
SDSS17274,0.17658,40.146933,0.1635,39.627197,0.51973584,39.632264,0.51466922
SDSS15583,0.17706,39.666107,0.113873,39.633738,0.032368028,39.638806,0.027300792
SDSS17218,0.17757,39.634082,0.114576,39.64067,-0.0065882571,39.645738,-0.01165614
SDSS14451,0.17789,39.574974,0.112906,39.645011,-0.070036654,39.650079,-0.07510494
SDSS5635,0.1781,40.052473,0.117139,39.647855,0.40461865,39.652923,0.3995501
SDSS15461,0.17865,39.697223,0.113319,39.655289,0.041933206,39.660359,0.036863971
SDSS2372,0.17962,39.562818,0.113572,39.66835,-0.10553144,39.67342,-0.11060187
SDSS6936,0.17969,39.686965,0.113497,39.66929,0.017675157,39.67436,0.012604644
SDSS13254,0.17981,39.981137,0.120493,39.6709,0.31023677,39.675971,0.30516611
SDSS14284,0.18037,39.447761,0.112763,39.678404,-0.23064263,39.683475,-0.23571397
SDSS13045,0.18055,39.543292,0.118342,39.680811,-0.13751879,39.685882,-0.14259035
SDSS20048,0.18056,39.793426,0.117002,39.680944,0.11248196,39.686016,0.1074104
SDSS17215,0.18079,39.621278,0.117616,39.684017,-0.06273873,39.689089,-0.067810572
SDSS15443,0.18122,39.590054,0.112167,39.689751,-0.099696821,39.694824,-0.10476918
SDSS17332,0.18204,39.584028,0.115898,39.700652,-0.1166234,39.705725,-0.12169672
SDSS6422,0.18255,39.764285,0.112208,39.707409,0.056876082,39.712482,0.051802166
SDSS16281,0.18255,39.62761,0.114391,39.707409,-0.079798909,39.712482,-0.084872825
SDSS17168,0.18257,39.842601,0.115147,39.707673,0.1349278,39.712747,0.12985386
SDSS14984,0.1828,39.834222,0.115225,39.710714,0.1235079,39.715789,0.1184337
SDSS1580,0.18322,39.566101,0.114206,39.716259,-0.15015783,39.721333,-0.15523252
SDSS8213,0.18327,39.569065,0.117564,39.716918,-0.14785274,39.721993,-0.15292749
SDSS15421,0.18435,39.851818,0.112927,39.731118,0.12070041,39.736194,0.11562444
05D2ah,0.185371,39.794575,0.085522,39.744471,0.050103694,39.749548,0.045026586
SDSS19101,0.18563,39.658661,0.11449,39.747848,-0.089186103,39.752925,-0.094263496
SDSS5994,0.18581,39.82584,0.114889,39.750192,0.075647939,39.755269,0.070570349
SDSS21861,0.18655,39.624409,0.121972,39.759807,-0.13539734,39.764885,-0.14047574
SDSS18749,0.18667,39.720546,0.114334,39.761362,-0.040816148,39.766441,-0.045894671
SDSS20687,0.18772,39.620767,0.118492,39.774937,-0.15416972,39.780017,-0.15924936
SDSS6304,0.18965,39.711922,0.113593,39.799707,-0.087784839,39.804788,-0.09286648
