Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_QuantumAttractorUnifiedCosmology,residual_QuantumAttractorUnifiedCosmology
SDSS15453,0.17373,39.836681,0.114314,39.588458,0.24822277,39.583657,0.25302425
SDSS3080,0.17374,39.463768,0.112831,39.588597,-0.12482887,39.583792,-0.120024
SDSS15648,0.17383,39.525192,0.122163,39.589843,-0.064650766,39.585008,-0.059815341
SDSS14421,0.17386,39.700435,0.112491,39.590258,0.11017714,39.585413,0.11502275
SDSS12927,0.17415,39.359493,0.118918,39.594269,-0.23477572,39.589325,-0.22983169
SDSS19969,0.1742,39.514497,0.113041,39.59496,-0.080462394,39.589999,-0.075501418
SDSS19282,0.17558,39.635173,0.113152,39.613956,0.021217691,39.608529,0.026644363
SDSS18807,0.17625,39.745679,0.113139,39.623128,0.12255091,39.617477,0.12820226
SDSS14979,0.17653,39.625476,0.11256,39.626952,-0.0014764333,39.621207,0.0042685013
SDSS18604,0.17656,39.813561,0.113509,39.627362,0.18619972,39.621607,0.19195468
SDSS15365,0.17656,39.786039,0.113446,39.627362,0.15867744,39.621607,0.1644324
SDSS17274,0.17658,40.146933,0.1635,39.627635,0.51929867,39.621873,0.52506032
SDSS15583,0.17706,39.666107,0.113873,39.634175,0.031931427,39.628253,0.037853088
SDSS17218,0.17757,39.634082,0.114576,39.641106,-0.0070242584,39.635015,-0.00093313304
SDSS14451,0.17789,39.574974,0.112906,39.645446,-0.070472279,39.639249,-0.064275133
SDSS5635,0.1781,40.052473,0.117139,39.64829,0.40418327,39.642024,0.41044988
SDSS15461,0.17865,39.697223,0.113319,39.655724,0.041498474,39.649276,0.047946523
SDSS2372,0.17962,39.562818,0.113572,39.668783,-0.10596503,39.662017,-0.099198648
SDSS6936,0.17969,39.686965,0.113497,39.669723,0.017241649,39.662934,0.024030935
SDSS13254,0.17981,39.981137,0.120493,39.671334,0.3098034,39.664505,0.31663191
SDSS14284,0.18037,39.447761,0.112763,39.678836,-0.23107534,39.671825,-0.22406431
SDSS13045,0.18055,39.543292,0.118342,39.681243,-0.13795129,39.674174,-0.13088173
SDSS20048,0.18056,39.793426,0.117002,39.681377,0.11204948,39.674304,0.11912228
SDSS17215,0.18079,39.621278,0.117616,39.684449,-0.063170945,39.677302,-0.05602348
SDSS15443,0.18122,39.590054,0.112167,39.690183,-0.10012853,39.682896,-0.092841822
SDSS17332,0.18204,39.584028,0.115898,39.701082,-0.11705414,39.693531,-0.10950312
SDSS6422,0.18255,39.764285,0.112208,39.707839,0.056445935,39.700124,0.064160518
SDSS16281,0.18255,39.62761,0.114391,39.707839,-0.080229056,39.700124,-0.072514473
SDSS17168,0.18257,39.842601,0.115147,39.708103,0.13449768,39.700382,0.14221866
SDSS14984,0.1828,39.834222,0.115225,39.711144,0.12307805,39.70335,0.13087259
SDSS1580,0.18322,39.566101,0.114206,39.716688,-0.15058719,39.70876,-0.14265868
SDSS8213,0.18327,39.569065,0.117564,39.717347,-0.14828204,39.709403,-0.14033761
SDSS15421,0.18435,39.851818,0.112927,39.731546,0.12027238,39.723259,0.12855915
05D2ah,0.185371,39.794575,0.085522,39.744898,0.04967686,39.73629,0.058284603
SDSS19101,0.18563,39.658661,0.11449,39.748274,-0.089612633,39.739585,-0.080923892
SDSS5994,0.18581,39.82584,0.114889,39.750618,0.07522162,39.741873,0.083966554
SDSS21861,0.18655,39.624409,0.121972,39.760232,-0.13582279,39.751257,-0.12684773
