ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QuantumAttractorUnifiedCosmology_tt,residual_QuantumAttractorUnifiedCosmology_tt,Dl_QuantumAttractorUnifiedCosmology_te,residual_QuantumAttractorUnifiedCosmology_te,Dl_QuantumAttractorUnifiedCosmology_ee,residual_QuantumAttractorUnifiedCosmology_ee
311,3649.99,119.046,10.9594,3725.28,-75.2944,123.666,-4.61927,11.4507,-0.49123,5497.36,-1847.38,154.387,-35.3404,9.07634,1.88308
320,3411.94,112.762,12.6384,3412.25,-0.309994,121.116,-8.35431,13.1667,-0.528269,5085.79,-1673.85,159.355,-46.5925,10.7381,1.90036
329,3173.93,117.149,15.1816,3110.97,62.9629,115.428,1.72124,14.8627,0.318809,4670.93,-1497,160.989,-43.8396,12.4618,2.71977
338,2842.13,105.901,16.0657,2828.21,13.9234,106.754,-0.853603,16.4853,-0.419582,4261.29,-1419.16,159.198,-53.297,14.2054,1.86032
347,2498.24,86.2064,16.2208,2569.97,-71.7315,95.369,-9.16254,17.9804,-1.75958,3864.58,-1366.34,154.009,-67.8024,15.9264,0.294439
356,2358.31,79.8487,18.6902,2340.91,17.3965,81.6073,-1.75862,19.2936,-0.603354,3487.27,-1128.96,145.517,-65.6685,17.5803,1.10987
365,2186.33,61.0311,18.5056,2145.19,41.1337,65.9477,-4.91657,20.3809,-1.8753,3136.21,-949.883,134.026,-72.9954,19.118,-0.61244
374,2038.68,46.4875,21.0827,1985.24,53.4347,48.9,-2.41253,21.2005,-0.117761,2817.12,-778.444,119.914,-73.4263,20.4822,0.600453
383,1891.76,31.557,21.4257,1862.36,29.3933,31.0425,0.514517,21.7208,-0.295144,2534.6,-642.843,103.625,-72.0682,21.6261,-0.200383
392,1787.59,19.7448,22.3593,1776.75,10.8402,12.9662,6.7786,21.9192,0.440056,2292.13,-504.545,85.62,-65.8752,22.5113,-0.151982
401,1734.58,-0.544681,21.1747,1727.25,7.33471,-4.71271,4.16803,21.7886,-0.613925,2091.87,-357.285,66.3823,-66.927,23.1153,-1.94064
410,1738.05,-21.8916,21.0336,1711.92,26.1372,-21.4087,-0.482885,21.33,-0.296384,1934.88,-196.822,46.4358,-68.3274,23.4196,-2.38597
419,1731.61,-35.0666,19.2941,1727.42,4.18496,-36.5861,1.5195,20.5614,-1.26732,1820.06,-88.4522,26.4559,-61.5226,23.4102,-4.11614
428,1770.01,-48.4463,19.1288,1769.96,0.0546135,-49.7728,1.32647,19.5111,-0.382258,1745.7,24.3112,7.09077,-55.5371,23.0815,-3.95267
437,1770.68,-61.9365,19.3346,1834.75,-64.069,-60.5834,-1.35306,18.2234,1.11118,1709.12,61.5619,-11.0986,-50.8378,22.4438,-3.10918
446,1856.79,-62.1436,17.3252,1916.88,-60.0901,-68.7121,6.5685,16.7516,0.573576,1707.48,149.305,-27.6305,-34.5131,21.5163,-4.19109
455,2045.9,-74.4981,15.4382,2010.78,35.1219,-73.9529,-0.545198,15.1581,0.280092,1737.23,308.668,-42.1179,-32.3801,20.328,-4.88979
464,2224.7,-80.0589,14.5813,2111.02,113.678,-76.209,-3.84988,13.5108,1.07056,1793.37,431.326,-54.1902,-25.8687,18.9233,-4.34197
